,Unnamed: 0,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,6,6.0,12.0,12,13.0,D.Garland o30.5 Pts+Rebs+Ast,JoeMetz,-120,1.2,2.2,0,Cleveland Cavaliers,D.Garland,Minnesota Timberwolves,0.0,1.0000000000000002,0.6,1.0,0.8,1.0,0.5,0.0
2,2,,,2,,T.Rozier u29.5 Pts+Rebs+Ast,PropBetGuy,-104,1.0,1.9615384615384617,0,Charlotte Hornets,T.Rozier,Boston Celtics,1.0,0.9615384615384616,,,,,,
12,12,,,13,,D.Garland o30.5 Pts+Rebs+Ast,JoeMetz,-120,1.2,2.2,0,Cleveland Cavaliers,D.Garland,Minnesota Timberwolves,0.0,1.0000000000000002,,,,,,
