,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
5,5,5,6,L.Ball o3.5 3pt M,SBK5065,-115,0.5,0.934782608695652,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.434782608695652
9,9,9,10,L.Ball o3.5 3pt M,JoeDellera,-120,0.83,1.5216666666666667,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.6916666666666668
