,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,17,17,18,I.Zubac o21.5 Pts+Rebs,JoeDellera,-110,0.35,0.6681818181818182,0,Los Angeles Clippers,I.Zubac,Indiana Pacers,0.0,0.3181818181818182
1,18,18,19,I.Zubac o21.5 Pts+Rebs,PropBetGuy,-110,1.1,2.1,0,Los Angeles Clippers,I.Zubac,Indiana Pacers,0.0,1.0
