,Unnamed: 0,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
17,17,,,17,,J.Allen o9.5 Rebs,SBK5065,-115,0.58,1.0843478260869563,0,Cleveland Cavaliers,J.Allen,Dallas Mavericks,0,0.5043478260869564,,,,,,
23,23,,,23,,R.Gobert u13.5 Rebs,SBK5065,-115,0.5,0.934782608695652,0,Minnesota Timberwolves,R.Gobert,Los Angeles Clippers,0,0.434782608695652,,,,,,
26,26,,,26,,P.George o5.5 Rebs,JoeDellera,-145,0.34,0.5744827586206898,0,Los Angeles Clippers,P.George,Minnesota Timberwolves,1,0.2344827586206897,,,,,,
