,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,B.Beal o17.5 Pts,GDAWG5000,-120,0.6,B.Beal,Phoenix Suns,Denver Nuggets,0.0,1.1,0.5000000000000001,0.46875,0,0.4,0,0.5,0
2,B.Beal o17.5 Pts,kylemurray03,-120,1.2,B.Beal,Phoenix Suns,Denver Nuggets,0.0,2.2,1.0000000000000002,0.46875,0,0.4,0,0.5,0
19,J.Brown o21.5 Pts,the_degenerates,-125,1.25,J.Brown,Boston Celtics,Cleveland Cavaliers,0.0,2.25,1.0,0.5454545454545454,1,0.8,1,0.4,0
29,D.DiVincenzo o23.5 Pts,kylemurray03,-120,1.2,D.DiVincenzo,New York Knicks,Atlanta Hawks,1.0,2.2,1.0000000000000002,0.1333333333333333,0,0.2,0,0.3,0
30,D.Hunter o14.5 Pts,kylemurray03,-110,1.0,D.Hunter,Atlanta Hawks,New York Knicks,0.0,1.9090909090909087,0.9090909090909092,0.5277777777777778,1,0.8,1,0.7,1
31,J.Brunson o29.5 Pts,kylemurray03,-115,1.15,J.Brunson,New York Knicks,Atlanta Hawks,1.0,2.1499999999999995,0.9999999999999996,0.4210526315789473,0,0.4,0,0.5,0
36,P.Banchero o20.5 Pts,stevietpfl,-125,1.0,P.Banchero,Orlando Magic,Charlotte Hornets,0.0,1.8,0.8,0.576271186440678,1,0.6,1,0.5,0
3,M.Turner o16.5 Pts,the_degenerates,-120,1.0,M.Turner,Indiana Pacers,Dallas Mavericks,0.0,1.8333333333333333,0.8333333333333335,0.5084745762711864,1,0.2,0,0.4,0
6,O.Agbaji o9.5 Pts,PropBetGuy,100,1.0,O.Agbaji,Toronto Raptors,New Orleans Pelicans,1.0,2.0,1.0,0.3333333333333333,0,0.6,1,0.3333333333333333,0
21,D.Bertans u9.5 Pts,NicholaskMartin,-130,0.75,D.Bertans,Charlotte Hornets,Orlando Magic,1.0,1.3269230769230769,0.5769230769230769,0.625,1,0.4,0,0.625,1
22,D.Bertans u9.5 Pts,PropBomb,-130,1.43,D.Bertans,Charlotte Hornets,Orlando Magic,1.0,2.53,1.1,0.625,1,0.4,0,0.625,1
