,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
38,38,38,38,W.Carter o24.5 Pts+Rebs,JoeMetz,-105,1.0,1.9523809523809523,0,Orlando Magic,W.Carter,Utah Jazz,0,0.9523809523809524,,,,,,,,,
8,8,37,37,D.Gafford u17.5 Pts+Rebs,PropBomb,-120,1.0,1.8333333333333333,0,Washington Wizards,D.Gafford,New York Knicks,1,0.8333333333333333,8.0,37.0,37.0,0.7142857142857143,1.0,0.4,0.0,0.5,0.0
