,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Brown o22.5 Pts,ChrisRaybon,-125,1.0,J.Brown,Boston Celtics,Dallas Mavericks,1,1.8,0.8,0.5357142857142857,1,0.8,1,0.8,1
1,M.Kleber o2.5 Pts,GreenDotDaily,-117,1.0,M.Kleber,Dallas Mavericks,Boston Celtics,0,1.8547008547008548,0.8547008547008548,0.6470588235294118,1,0.8,1,0.9,1
2,J.Brown o22.5 Pts,GreenDotDaily,-135,1.0,J.Brown,Boston Celtics,Dallas Mavericks,1,1.7407407407407407,0.7407407407407407,0.5357142857142857,1,0.8,1,0.8,1
4,A.Horford o6.5 Pts,VegasRefund,-115,1.15,A.Horford,Boston Celtics,Dallas Mavericks,1,2.1499999999999995,0.9999999999999996,0.6962025316455697,1,0.8,1,0.7,1
7,P.Pritchard u5.5 Pts,cowhitchurch,-146,0.73,P.Pritchard,Boston Celtics,Dallas Mavericks,1,1.23,0.5,0.3645833333333333,0,0.4,0,0.3,0
8,J.Green o3.5 Pts,cowhitchurch,100,0.5,J.Green,Dallas Mavericks,Boston Celtics,0,1.0,0.5,0.6891891891891891,1,0.4,0,0.5,0
9,M.Kleber o2.5 Pts,charliedisturco,-120,0.6,M.Kleber,Dallas Mavericks,Boston Celtics,0,1.1,0.5000000000000001,0.6470588235294118,1,0.8,1,0.9,1
14,P.Pritchard u5.5 Pts,PropBomb,-130,1.3,P.Pritchard,Boston Celtics,Dallas Mavericks,1,2.3,0.9999999999999998,0.3645833333333333,0,0.4,0,0.3,0
15,P.Pritchard u5.5 Pts,GDAWG5000,-130,0.65,P.Pritchard,Boston Celtics,Dallas Mavericks,1,1.15,0.4999999999999999,0.3645833333333333,0,0.4,0,0.3,0
8,M.Kleber o2.5 Pts,SportsBookBreakers,-120,1.0,M.Kleber,Dallas Mavericks,Boston Celtics,0,1.8333333333333333,0.8333333333333335,0.6470588235294118,1,0.8,1,0.9,1
20,M.Kleber o2.5 Pts,VegasRefund,-115,1.15,M.Kleber,Dallas Mavericks,Boston Celtics,0,2.1499999999999995,0.9999999999999996,0.6470588235294118,1,0.8,1,0.9,1
25,J.Green o3.5 Pts,HPBasketball,100,1.0,J.Green,Dallas Mavericks,Boston Celtics,0,2.0,1.0,0.6891891891891891,1,0.4,0,0.5,0
