,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,6,M.Porter o3.5 3pt M,Denver Nuggets,GDAWG5000,160,0.25,0.65,0.996,M.Porter,Memphis Grizzlies,0,0.4,0.3953488372093023,0,0.6,1,0.5,0
1,7,M.Porter o3.5 3pt M,Denver Nuggets,JoeDellera,160,0.5,1.3,-7.630599999999998,M.Porter,Memphis Grizzlies,0,0.8,0.3953488372093023,0,0.6,1,0.5,0
2,12,P.Tucker o0.5 3pt M,Philadelphia 76ers,GDAWG5000,-115,0.57,1.0656521739130431,0.996,P.Tucker,Boston Celtics,1,0.4956521739130434,0.5178571428571429,1,0.6,1,0.6,1
