,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
11,J.Brunson o35.5 Pts+Ast,JoeDellera,-125,1.25,J.Brunson,New York Knicks,Boston Celtics,0.0,2.25,1.0,0.4459459459459459,0,0.8,1,0.6,1
12,J.Brunson o35.5 Pts+Ast,kylemurray03,-125,2.0,J.Brunson,New York Knicks,Boston Celtics,0.0,3.6,1.6,0.4459459459459459,0,0.8,1,0.6,1
13,C.McCollum o28.5 Pts+Ast,kylemurray03,-125,1.25,C.McCollum,New Orleans Pelicans,Sacramento Kings,0.0,2.25,1.0,0.3174603174603174,0,0.8,1,0.8,1
