,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Maxey o2.5 3pt M,MikeRandle,-135,1.0,1.7407407407407407,0,Philadelphia 76ers,T.Maxey,Boston Celtics,0,0.7407407407407407,N,0.45454545454545453,0,0.4,0,0.5,0
1,P.Tucker o1.5 3pt M,GDAWG5000,380,0.5,2.4,0,Philadelphia 76ers,P.Tucker,Boston Celtics,0,1.9,N,0.18518518518518517,0,0.0,0,0.3,0
2,J.Embiid o29.5 Pts,JoeMetz,215,1.0,3.15,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,2.15,N,0.6285714285714286,1,0.0,0,0.1,0
3,J.Embiid o24.5 Pts,JoeMetz,-127,1.27,2.27,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,1.0,N,0.8571428571428571,1,0.2,0,0.6,1
4,J.Tatum o13.5 Rebs+Ast,VegasRefund,-125,1.25,2.25,0,Boston Celtics,J.Tatum,Philadelphia 76ers,1,1.0,N,0.5121951219512195,1,0.6,1,0.5,0
5,J.Embiid o3.5 Ast,NicholaskMartin,125,0.75,1.6875,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,0.9375,N,0.5428571428571428,1,0.2,0,0.4,0
6,J.Embiid o4.5 Ast,JoeDellera,290,0.25,0.975,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,0.725,N,0.4,0,0.2,0,0.3,0
7,J.Harden o2.5 3pt M,JoeDellera,-130,0.5,0.8846153846153846,0,Philadelphia 76ers,J.Harden,Boston Celtics,0,0.3846153846153846,N,0.578125,1,0.4,0,0.5,0
8,J.Embiid o3.5 Ast,SBK5065,140,0.5,1.2,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,0.7,N,0.5428571428571428,1,0.2,0,0.4,0
9,J.Embiid o3.5 Ast,JoeDellera,140,1.2,2.88,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,1.68,N,0.5428571428571428,1,0.2,0,0.4,0
10,J.Embiid o5.5 Ast,JoeDellera,550,0.25,1.625,0,Philadelphia 76ers,J.Embiid,Boston Celtics,0,1.375,N,0.24285714285714285,0,0.2,0,0.2,0
11,A.Horford o1.5 3pt M,SBK5065,-130,0.65,1.15,0,Boston Celtics,A.Horford,Philadelphia 76ers,1,0.4999999999999999,N,0.6619718309859155,1,0.2,0,0.6,1
12,A.Horford o1.5 3pt M,PropBomb,-132,1.32,2.3200000000000003,0,Boston Celtics,A.Horford,Philadelphia 76ers,1,1.0000000000000002,N,0.6619718309859155,1,0.2,0,0.6,1
13,J.Brown o24.5 Pts,VegasRefund,-115,1.0,1.869565217391304,0,Boston Celtics,J.Brown,Philadelphia 76ers,1,0.869565217391304,Y,0.6933333333333334,1,0.8,1,0.6,1
14,J.Brown o29.5 Pts,GDAWG5000,240,0.5,1.7,0,Boston Celtics,J.Brown,Philadelphia 76ers,1,1.2,N,0.3333333333333333,0,0.6,1,0.3,0
