,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Holiday o28.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.0843478260869563,19.1421,Milwaukee Bucks,J.Holiday,Indiana Pacers,0,0.5043478260869564,Y,0.6190476190476191,1,0.4,0,0.4,0
1,A.Nesmith u18.5 Pts+Rebs+Ast,PropBetGuy,-118,1.18,2.18,14.7865,Indiana Pacers,A.Nesmith,Milwaukee Bucks,1,0.9999999999999998,N,0.6911764705882353,1,0.8,1,0.6,1
2,J.Holiday o16.5 Pts,JoeDellera,-115,0.3,0.5608695652173913,11.0415,Milwaukee Bucks,J.Holiday,Indiana Pacers,0,0.2608695652173913,Y,0.5873015873015873,1,0.4,0,0.4,0
3,J.Holiday o11.5 Rebs+Ast,JoeDellera,-130,1.0,1.7692307692307692,0.0,Milwaukee Bucks,J.Holiday,Indiana Pacers,0,0.7692307692307692,Y,0.5873015873015873,1,0.2,0,0.4,0
4,B.Lopez o17.5 Pts,MikeRandle,-115,0.5,0.934782608695652,-1.0798,Milwaukee Bucks,B.Lopez,Indiana Pacers,0,0.4347826086956521,Y,0.3918918918918919,0,0.4,0,0.7,1
5,T.McConnell o0.5 3pt M,GDAWG5000,125,0.5,1.125,-2.1544000000000003,Indiana Pacers,T.McConnell,Milwaukee Bucks,1,0.625,N,0.2222222222222222,0,0.2,0,0.4,0
6,T.McConnell o1.5 3pt M,GDAWG5000,675,0.1,0.775,0.0,Indiana Pacers,T.McConnell,Milwaukee Bucks,1,0.675,N,0.05555555555555555,0,0.0,0,0.1,0
7,J.Williams o23.5 Pts+Ast,SBK5065,-120,1.2,2.2,19.1421,Oklahoma City Thunder,J.Williams,Detroit Pistons,1,1.0000000000000002,Y,0.13793103448275862,0,0.4,0,0.3,0
8,J.Williams o23.5 Pts+Ast,PropBetGuy,-125,1.25,2.25,14.7865,Oklahoma City Thunder,J.Williams,Detroit Pistons,1,1.0,Y,0.13793103448275862,0,0.4,0,0.3,0
9,J.Williams o23.5 Pts+Ast,JoeDellera,-125,1.0,1.8,11.0415,Oklahoma City Thunder,J.Williams,Detroit Pistons,1,0.8,Y,0.13793103448275862,0,0.4,0,0.3,0
10,J.Williams o23.5 Pts+Ast,PropBomb,-125,1.25,2.25,10.4331,Oklahoma City Thunder,J.Williams,Detroit Pistons,1,1.0,Y,0.13793103448275862,0,0.4,0,0.3,0
11,D.Brooks o13.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,14.7865,Memphis Grizzlies,D.Brooks,Los Angeles Clippers,1,0.9999999999999996,Y,0.463768115942029,0,0.2,0,0.4,0
13,T.Horton-Tucker o5.5 Ast,SBK5065,-135,1.35,2.35,0.0,Utah Jazz,T.Horton-Tucker,San Antonio Spurs,0,1.0,N,0.24193548387096775,0,0.6,1,0.6,1
15,Z.LaVine o30.5 Pts+Ast,PropBetGuy,-120,1.2,2.2,14.7865,Chicago Bulls,Z.LaVine,Los Angeles Lakers,1,1.0000000000000002,N,0.4305555555555556,0,0.4,0,0.6,1
16,Z.LaVine o30.5 Pts+Ast,JoeDellera,-120,0.55,1.0083333333333335,0.0,Chicago Bulls,Z.LaVine,Los Angeles Lakers,1,0.4583333333333335,N,0.4305555555555556,0,0.4,0,0.6,1
17,D.Booker o37.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,19.1421,Phoenix Suns,D.Booker,Minnesota Timberwolves,1,0.5000000000000001,N,0.5102040816326531,1,0.4,0,0.4,0
18,R.Gobert o10.5 Rebs,SBK5065,-130,1.0,1.7692307692307692,0.0,Minnesota Timberwolves,R.Gobert,Phoenix Suns,0,0.7692307692307692,Y,0.5846153846153846,1,0.8,1,0.7,1
19,K.Durant u23.5 Pts,JoeDellera,-100,0.75,1.5,11.0415,Phoenix Suns,K.Durant,Minnesota Timberwolves,1,0.75,Y,0.75,1,0.75,1,0.75,1
20,R.Gobert o10.5 Rebs,JoeDellera,-130,1.0,1.7692307692307692,0.0,Minnesota Timberwolves,R.Gobert,Phoenix Suns,0,0.7692307692307692,Y,0.5846153846153846,1,0.8,1,0.7,1
21,K.Towns o17.5 Pts,PropBomb,-123,1.23,2.23,10.4331,Minnesota Timberwolves,K.Towns,Phoenix Suns,0,1.0,Y,0.7083333333333334,1,0.6,1,0.7,1
22,S.Sharpe o20.5 Pts,SBK5065,-120,0.6,1.1,19.1421,Portland Trail Blazers,S.Sharpe,Sacramento Kings,1,0.5000000000000001,Y,0.05333333333333334,0,0.8,1,0.4,0
23,S.Sharpe o20.5 Pts,PropBomb,-120,1.2,2.2,10.4331,Portland Trail Blazers,S.Sharpe,Sacramento Kings,1,1.0000000000000002,Y,0.05333333333333334,0,0.8,1,0.4,0
