,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,G.Williams o0.5 3pt M,SBK5065,-140,1.0,1.7142857142857144,0,Boston Celtics,G.Williams,Philadelphia 76ers,0,0.7142857142857144,N,0.6627906976744186,1,0.4,0,0.3,0
1,M.Smart o20.5 Pts+Rebs+Ast,MikeRandle,-106,1.0,1.9433962264150944,0,Boston Celtics,M.Smart,Philadelphia 76ers,0,0.9433962264150944,Y,0.5492957746478874,1,1.0,1,0.9,1
2,T.Harris o13.5 Pts,VegasRefund,-117,1.17,2.17,0,Philadelphia 76ers,T.Harris,Boston Celtics,1,1.0,N,0.6097560975609756,1,0.6,1,0.6,1
3,J.Brown u30.5 Pts+Rebs,PropBomb,-120,1.2,2.2,0,Boston Celtics,J.Brown,Philadelphia 76ers,0,1.0000000000000002,Y,0.37662337662337664,0,0.8,1,0.6,1
4,J.Embiid o10.5 Rebs,charliedisturco,-120,1.2,2.2,0,Philadelphia 76ers,J.Embiid,Boston Celtics,1,1.0000000000000002,Y,0.4583333333333333,0,0.6,1,0.5,0
5,T.Harris Double-Double (Yes),GDAWG5000,1075,0.1,1.175,0,Philadelphia 76ers,T.Harris,Boston Celtics,1,1.075,N,0.10975609756097561,0,0.2,0,0.2,0
6,J.Brown o24.5 Pts,JoeMetz,-105,1.05,2.05,0,Boston Celtics,J.Brown,Philadelphia 76ers,0,0.9999999999999998,N,0.6753246753246753,1,0.4,0,0.5,0
7,T.Harris o13.5 Pts,iamrahstradamus,-117,1.17,2.17,0,Philadelphia 76ers,T.Harris,Boston Celtics,1,1.0,N,0.6097560975609756,1,0.6,1,0.6,1
8,G.Williams o1.5 3pt M,JoeDellera,360,0.25,1.15,0,Boston Celtics,G.Williams,Philadelphia 76ers,0,0.8999999999999999,N,0.4418604651162791,0,0.2,0,0.2,0
9,J.Embiid o10.5 Rebs,PropBetGuy,-118,1.18,2.18,0,Philadelphia 76ers,J.Embiid,Boston Celtics,1,0.9999999999999998,Y,0.4583333333333333,0,0.6,1,0.5,0
