,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,P.Banchero o22.5 Pts+Rebs+Ast,SBK5065,-105,0.53,1.034761905,-0.38,Orlando Magic,P.Banchero,Detroit Pistons,0,0.504761905,Y,1.0,1,1.0,1,1.0,1
1,C.Cunningham  u7.5 Ast,SBK5065,-120,1.2,2.2,-0.38,Detroit Pistons,C.Cunningham,Orlando Magic,1,1.0,N,0.0,0,0.0,0,0.0,0
2,F.Wagner o21.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.084347826,-0.38,Orlando Magic,F.Wagner,Detroit Pistons,0,0.504347826,Y,1.0,1,1.0,1,1.0,1
3,I.Stewart o0.5 3pt M,PropBomb,-135,1.35,2.35,0.0,Detroit Pistons,I.Stewart,Orlando Magic,1,1.0,Y,1.0,1,1.0,1,1.0,1
4,P.Banchero o1.5 3pt M,GDAWG5000,500,0.25,1.5,0.0,Orlando Magic,P.Banchero,Detroit Pistons,0,1.25,N,0.0,0,0.0,0,0.0,0
5,P.Banchero Yes Double-Double,GDAWG5000,925,0.25,2.5625,0.0,Orlando Magic,P.Banchero,Detroit Pistons,0,2.3125,N,0.0,0,0.0,0,0.0,0
6,B.Beal o5.5 Ast,SBK5065,105,0.5,1.025,-0.38,Washington Wizards,B.Beal,Indiana Pacers,0,0.525,Y,1.0,1,1.0,1,1.0,1
7,T.Haliburton o15.5 Pts,SBK5065,-125,0.63,1.134,-0.38,Indiana Pacers,T.Haliburton,Washington Wizards,1,0.504,Y,1.0,1,1.0,1,1.0,1
8,B.Hield u17.5 Pts,SBK5065,-118,1.5,2.771186441,-0.38,Indiana Pacers,B.Hield,Washington Wizards,1,1.271186441,Y,1.0,1,1.0,1,1.0,1
9,K.Porzingis o7.5 Rebs,SBK5065,-105,0.53,1.034761905,-0.38,Washington Wizards,K.Porzingis,Indiana Pacers,0,0.504761905,Y,1.0,1,1.0,1,1.0,1
10,W.Barton u11.5 Pts,SBK5065,-115,1.0,1.869565217,-0.38,Washington Wizards,W.Barton,Indiana Pacers,0,0.869565217,N,0.0,0,0.0,0,0.0,0
11,K.Kuzma u20.5 Pts+Ast,PropBetGuy,-110,1.1,2.1,-1.2,Washington Wizards,K.Kuzma,Indiana Pacers,0,1.0,N,0.0,0,0.0,0,0.0,0
12,T.Haliburton o25.5 Pts+Ast,JoeMetz,-110,1.1,2.1,-1.0,Indiana Pacers,T.Haliburton,Washington Wizards,1,1.0,Y,1.0,1,1.0,1,1.0,1
13,B.Beal o22.5 Pts,JoeMetz,-110,1.12,2.138181818,-1.0,Washington Wizards,B.Beal,Indiana Pacers,0,1.018181818,Y,1.0,1,1.0,1,1.0,1
14,T.Haliburton o8.5 Ast,JoeDellera,-125,1.0,1.8,0.7953,Indiana Pacers,T.Haliburton,Washington Wizards,1,0.8,N,0.0,0,0.0,0,0.0,0
15,J.Morant u6.5 Rebs,SBK5065,-135,0.68,1.183703704,-0.38,Memphis Grizzlies,J.Morant,New York Knicks,1,0.503703704,Y,1.0,1,1.0,1,1.0,1
16,J.Randle u20.5 Pts,SBK5065,100,1.0,2.0,-0.38,New York Knicks,J.Randle,Memphis Grizzlies,0,1.0,N,0.0,0,0.0,0,0.0,0
17,S.Adams o8.5 Rebs,SBK5065,-140,1.0,1.714285714,-0.38,Memphis Grizzlies,S.Adams,New York Knicks,1,0.714285714,Y,1.0,1,1.0,1,1.0,1
18,J.Brunson o22.5 Pts+Ast,PropBetGuy,-120,1.2,2.2,0.0,New York Knicks,J.Brunson,Memphis Grizzlies,0,1.0,Y,1.0,1,1.0,1,1.0,1
19,J.Brunson o4.5 Ast,ChicagoFlow,-130,1.3,2.3,0.0,New York Knicks,J.Brunson,Memphis Grizzlies,0,1.0,Y,1.0,1,1.0,1,1.0,1
20,E.Gordon u15.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.084347826,-0.38,Houston Rockets,E.Gordon,Atlanta Hawks,0,0.504347826,N,0.0,0,0.0,0,0.0,0
21,D.Murray u37.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,-0.38,Atlanta Hawks,D.Murray,Houston Rockets,1,0.5,Y,1.0,1,1.0,1,1.0,1
22,D.Murray u7.5 Ast,SBK5065,100,1.0,2.0,-0.38,Atlanta Hawks,D.Murray,Houston Rockets,1,1.0,N,0.0,0,0.0,0,0.0,0
23,T.Young o25.5 Pts,JoeMetz,-105,1.05,2.05,-1.0,Atlanta Hawks,T.Young,Houston Rockets,1,1.0,N,0.0,0,0.0,0,0.0,0
24,R.O'Neale u14.5 Pts+Rebs+Ast,SBK5065,-103,0.52,1.024854369,-0.38,Brooklyn Nets,R.O'Neale,New Orleans Pelicans,1,0.504854369,N,0.0,0,0.0,0,0.0,0
25,K.Irving o24.5 Pts,SBK5065,-110,0.55,1.05,-0.38,Brooklyn Nets,K.Irving,New Orleans Pelicans,1,0.5,N,0.0,0,0.0,0,0.0,0
26,B.Simmons o23.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.084347826,-0.38,Brooklyn Nets,B.Simmons,New Orleans Pelicans,1,0.504347826,N,0.0,0,0.0,0,0.0,0
27,J.Valanciunas u11.5 Rebs,SBK5065,-125,0.63,1.134,-0.38,New Orleans Pelicans,J.Valanciunas,Brooklyn Nets,0,0.504,N,0.0,0,0.0,0,0.0,0
28,Z.Williamson o3.5 Ast,charliedisturco,210,0.25,0.775,0.0,New Orleans Pelicans,Z.Williamson,Brooklyn Nets,0,0.525,N,0.0,0,0.0,0,0.0,0
29,C.McCollum o4.5 Ast,PropBomb,100,1.0,2.0,0.0,New Orleans Pelicans,C.McCollum,Brooklyn Nets,0,1.0,Y,1.0,1,1.0,1,1.0,1
30,B.Simmons o13.5 Rebs+Ast,PropBomb,-120,1.2,2.2,0.0,Brooklyn Nets,B.Simmons,New Orleans Pelicans,1,1.0,N,0.0,0,0.0,0,0.0,0
31,Z.Williamson o18.5 Pts,JoeDellera,-105,0.2,0.39047619,0.7953,New Orleans Pelicans,Z.Williamson,Brooklyn Nets,0,0.19047619,Y,1.0,1,1.0,1,1.0,1
32,Z.Williamson o2.5 Ast,JoeDellera,135,1.0,2.35,0.7953,New Orleans Pelicans,Z.Williamson,Brooklyn Nets,0,1.35,Y,1.0,1,1.0,1,1.0,1
33,Z.Williamson o4.5 Ast,JoeDellera,825,0.15,1.3875,0.7953,New Orleans Pelicans,Z.Williamson,Brooklyn Nets,0,1.2375,N,0.0,0,0.0,0,0.0,0
34,K.Durant o19.5 Pts,JoeDellera,-100,0.1,0.2,0.7953,Brooklyn Nets,K.Durant,New Orleans Pelicans,1,0.1,Y,1.0,1,1.0,1,1.0,1
35,D.DeRozan o26.5 Pts,SBK5065,-105,0.53,1.034761905,-0.38,Chicago Bulls,D.DeRozan,Miami Heat,0,0.504761905,Y,1.0,1,1.0,1,1.0,1
36,D.DeRozan o35.5 Pts+Rebs+Ast,SBK5065,-105,0.53,1.034761905,-0.38,Chicago Bulls,D.DeRozan,Miami Heat,0,0.504761905,Y,1.0,1,1.0,1,1.0,1
37,J.Butler u23.5 Pts,SBK5065,100,0.5,1.0,-0.38,Miami Heat,J.Butler,Chicago Bulls,1,0.5,N,0.0,0,0.0,0,0.0,0
38,J.Butler u35.5 Pts+Rebs+Ast,SBK5065,-110,0.55,1.05,-0.38,Miami Heat,J.Butler,Chicago Bulls,1,0.5,Y,1.0,1,1.0,1,1.0,1
39,B.Adebayo o17.5 Pts,SBK5065,-110,0.55,1.05,-0.38,Miami Heat,B.Adebayo,Chicago Bulls,1,0.5,N,0.0,0,0.0,0,0.0,0
40,J.Butler u6.5 Rebs,SBK5065,120,0.5,1.1,-0.38,Miami Heat,J.Butler,Chicago Bulls,1,0.6,N,0.0,0,0.0,0,0.0,0
41,D.DeRozan u0.5 3pt M,HPBasketball,115,0.25,0.5375,0.0,Chicago Bulls,D.DeRozan,Miami Heat,0,0.2875,N,0.0,0,0.0,0,0.0,0
