,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Jaden McDaniels,Minnesota Timberwolves,Brooklyn Nets,0,41.07,15,0,6,3,1,1,.558,.577,.231,0.0,15.9,8.3,0.0,3.7,2.1,16.4,100,103,-0.2
1,Rudy Gobert,Minnesota Timberwolves,Brooklyn Nets,0,33.47,12,2,12,0,1,0,.644,.625,.000,14.2,25.8,20.3,8.4,0.0,2.6,15.7,123,109,-1.7
2,Mike Conley,Minnesota Timberwolves,Brooklyn Nets,0,33.02,18,1,1,1,1,3,.836,.833,.556,0.0,3.3,1.7,4.5,1.5,2.6,16.6,149,110,5.4
3,Anthony Edwards,Minnesota Timberwolves,Brooklyn Nets,0,31.00,23,3,5,1,2,2,.546,.444,.278,3.9,14.1,9.2,15.4,1.6,5.6,34.8,109,105,4.6
4,Karl-Anthony Towns,Minnesota Timberwolves,Brooklyn Nets,0,30.52,22,5,14,0,0,1,.624,.567,.200,3.9,45.9,25.9,27.2,0.0,0.0,28.2,130,107,7.7
5,Kyle Anderson,Minnesota Timberwolves,Brooklyn Nets,0,32.08,8,10,1,1,0,0,.444,.444,.111,3.7,0.0,1.8,42.6,1.6,0.0,13.1,129,113,3.4
6,Taurean Prince,Minnesota Timberwolves,Brooklyn Nets,0,23.04,7,0,3,0,0,1,.415,.438,.500,0.0,14.2,7.4,0.0,0.0,0.0,19.1,73,114,-11.7
7,Nickeil Alexander-Walker,Minnesota Timberwolves,Brooklyn Nets,0,14.58,2,0,2,1,1,0,.200,.200,.600,0.0,14.6,7.6,0.0,3.4,5.8,15.6,43,101,-8.9
8,Mikal Bridges,Brooklyn Nets,Minnesota Timberwolves,1,39.58,24,2,5,2,1,1,.450,.396,.208,0.0,15.0,7.1,8.5,2.5,2.0,33.9,85,112,-4.9
9,Spencer Dinwiddie,Brooklyn Nets,Minnesota Timberwolves,1,38.15,30,6,3,0,1,3,.603,.604,.375,0.0,9.4,4.5,33.2,0.0,2.1,29.7,127,118,7.6
10,Cameron Johnson,Brooklyn Nets,Minnesota Timberwolves,1,34.09,14,3,4,1,1,2,.709,.667,.333,0.0,14.1,6.7,13.2,1.5,2.3,13.2,148,114,4.8
11,Dorian Finney-Smith,Brooklyn Nets,Minnesota Timberwolves,1,34.00,14,3,10,0,0,4,.700,.700,.600,6.4,28.2,16.8,13.3,0.0,0.0,14.8,134,116,3.0
12,Nic Claxton,Brooklyn Nets,Minnesota Timberwolves,1,32.02,6,3,9,1,4,0,.436,.333,.000,13.6,18.7,16.1,12.5,1.6,9.8,11.2,115,106,1.0
13,Royce O'Neale,Brooklyn Nets,Minnesota Timberwolves,1,35.07,8,3,6,2,1,2,.400,.400,.800,0.0,20.5,9.8,11.7,2.9,2.2,15.6,77,109,-4.4
14,Joe Harris,Brooklyn Nets,Minnesota Timberwolves,1,15.25,5,1,2,0,0,1,.625,.625,.750,0.0,15.6,7.4,9.5,0.0,0.0,14.8,100,119,-3.7
15,Cam Thomas,Brooklyn Nets,Minnesota Timberwolves,1,4.56,0,0,0,0,0,0,.000,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0,122,-35.2
16,Seth Curry,Brooklyn Nets,Minnesota Timberwolves,1,3.29,1,0,0,0,0,0,.266,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,24.6,59,121,-23.3
17,Day'Ron Sharpe,Brooklyn Nets,Minnesota Timberwolves,1,2.36,0,0,1,0,0,0,,,,42.0,0.0,22.0,0.0,0.0,0.0,0.0,230,122,-5.6
18,Dejounte Murray,Atlanta Hawks,Chicago Bulls,0,34.43,17,9,3,1,0,0,.594,.538,.231,4.2,5.9,5.2,32.5,1.4,0.0,19.2,137,109,4.9
19,Saddiq Bey,Atlanta Hawks,Chicago Bulls,0,33.56,18,4,4,1,0,2,.692,.692,.462,4.3,9.0,7.1,15.4,1.4,0.0,16.7,149,108,7.6
20,Bogdan Bogdanović,Atlanta Hawks,Chicago Bulls,0,33.29,26,5,4,0,0,5,.797,.767,.667,0.0,12.2,7.2,20.4,0.0,0.0,22.5,155,111,10.8
21,Clint Capela,Atlanta Hawks,Chicago Bulls,0,25.56,13,0,14,0,0,0,.838,.833,.000,5.6,51.2,32.4,0.0,0.0,0.0,16.4,131,105,1.8
22,John Collins,Atlanta Hawks,Chicago Bulls,0,23.46,9,2,6,0,2,0,.436,.333,.222,6.1,21.5,15.1,9.6,0.0,7.0,18.9,110,103,-1.2
23,AJ Griffin,Atlanta Hawks,Chicago Bulls,0,24.48,7,1,2,0,0,1,.444,.357,.286,0.0,8.2,4.8,4.4,0.0,0.0,19.1,71,111,-14.4
24,Jalen Johnson,Atlanta Hawks,Chicago Bulls,0,22.08,16,2,4,3,1,1,.735,.750,.300,6.6,13.8,10.8,13.2,6.5,3.7,29.2,107,93,7.9
25,Onyeka Okongwu,Atlanta Hawks,Chicago Bulls,0,19.58,11,1,6,0,3,1,.698,.643,.143,7.3,25.6,18.0,6.3,0.0,12.4,19.3,132,97,6.7
26,Trent Forrest,Atlanta Hawks,Chicago Bulls,0,11.36,2,1,3,0,0,0,.333,.333,.000,0.0,26.4,15.5,9.4,0.0,0.0,22.5,42,109,-18.6
27,Bruno Fernando,Atlanta Hawks,Chicago Bulls,0,2.06,2,0,0,0,1,0,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,39.4,41.4,65,76,6.7
28,Vit Krejci,Atlanta Hawks,Chicago Bulls,0,2.06,2,0,1,0,0,0,1.000,1.000,.000,69.3,0.0,28.6,0.0,0.0,0.0,20.7,210,113,23.4
29,Aaron Holiday,Atlanta Hawks,Chicago Bulls,0,2.06,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-4.9
30,Tyrese Martin,Atlanta Hawks,Chicago Bulls,0,1.41,0,1,0,0,0,0,,,,0.0,0.0,0.0,59.4,0.0,0.0,0.0,221,113,17.5
31,Donovan Williams,Atlanta Hawks,Chicago Bulls,0,1.41,0,0,1,0,0,0,.000,.000,1.000,0.0,60.7,35.6,0.0,0.0,0.0,25.8,0,104,-28.9
32,DeMar DeRozan,Chicago Bulls,Atlanta Hawks,1,36.41,21,2,4,1,0,1,.535,.441,.235,0.0,15.9,6.5,8.2,1.3,0.0,25.5,107,126,-3.1
33,Nikola Vučević,Chicago Bulls,Atlanta Hawks,1,34.04,19,3,10,0,0,0,.582,.533,.133,6.0,34.2,17.6,14.2,0.0,0.0,23.1,120,126,1.0
34,Zach LaVine,Chicago Bulls,Atlanta Hawks,1,33.27,26,6,3,1,0,1,.571,.548,.333,0.0,13.0,5.4,34.1,1.4,0.0,33.6,112,126,3.6
35,Patrick Beverley,Chicago Bulls,Atlanta Hawks,1,31.40,11,0,2,1,1,3,.611,.611,.778,0.0,9.2,3.8,0.0,1.5,2.6,12.9,119,124,-1.3
36,Alex Caruso,Chicago Bulls,Atlanta Hawks,1,19.13,0,1,5,0,1,0,.000,.000,.500,5.3,30.3,15.6,6.1,0.0,4.3,7.1,41,123,-11.6
37,Patrick Williams,Chicago Bulls,Atlanta Hawks,1,26.41,15,1,2,2,2,2,.759,.778,.556,3.8,5.5,4.5,6.0,3.6,6.2,16.8,153,117,10.0
38,Coby White,Chicago Bulls,Atlanta Hawks,1,22.24,7,3,1,1,0,0,.335,.300,.400,0.0,6.5,2.7,18.6,2.1,0.0,25.2,67,125,-12.2
39,Ayo Dosunmu,Chicago Bulls,Atlanta Hawks,1,17.42,0,0,0,1,0,0,.000,.000,.000,0.0,0.0,0.0,0.0,2.7,0.0,7.7,0,125,-15.0
40,Andre Drummond,Chicago Bulls,Atlanta Hawks,1,7.30,2,0,4,0,2,0,.568,,,13.6,58.2,32.0,0.0,0.0,22.1,10.6,142,105,6.7
41,Derrick Jones Jr.,Chicago Bulls,Atlanta Hawks,1,6.26,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,131,-8.7
42,Marko Simonovic,Chicago Bulls,Atlanta Hawks,1,2.06,2,0,0,0,0,0,.500,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,43.2,93,131,-6.3
43,Dalen Terry,Chicago Bulls,Atlanta Hawks,1,2.06,2,0,1,1,0,0,.500,.500,.000,48.6,0.0,28.6,0.0,22.9,0.0,43.2,117,80,32.0
44,Pascal Siakam,Toronto Raptors,Charlotte Hornets,0,34.52,22,4,14,2,2,0,.577,.500,.125,9.0,40.9,23.2,17.8,2.9,6.0,27.3,121,99,2.1
45,Scottie Barnes,Toronto Raptors,Charlotte Hornets,0,29.08,0,3,3,1,0,0,.000,.000,.429,0.0,13.4,6.0,11.8,1.7,0.0,12.4,28,111,-18.3
46,OG Anunoby,Toronto Raptors,Charlotte Hornets,0,29.02,17,5,2,2,1,1,.567,.567,.400,0.0,8.9,4.0,28.7,3.5,3.6,24.9,117,105,0.7
47,Fred VanVleet,Toronto Raptors,Charlotte Hornets,0,26.52,16,6,1,4,1,3,.687,.611,.556,0.0,4.8,2.2,30.8,7.6,3.9,19.6,156,96,14.7
48,Jakob Poeltl,Toronto Raptors,Charlotte Hornets,0,21.46,10,3,9,0,0,0,.556,.556,.000,19.2,29.8,23.9,21.4,0.0,0.0,20.7,128,113,-2.3
49,Chris Boucher,Toronto Raptors,Charlotte Hornets,0,26.40,21,0,2,0,0,3,.948,.938,.500,0.0,9.7,4.3,0.0,0.0,0.0,18.8,187,116,5.8
50,Will Barton,Toronto Raptors,Charlotte Hornets,0,20.18,20,2,1,1,0,6,.833,.833,.750,0.0,6.4,2.8,18.6,2.5,0.0,26.7,156,111,16.5
51,Precious Achiuwa,Toronto Raptors,Charlotte Hornets,0,14.55,12,1,4,1,0,2,.676,.625,.500,7.0,26.1,15.5,11.0,3.4,0.0,26.9,143,105,7.8
52,Jeff Dowtin,Toronto Raptors,Charlotte Hornets,0,12.24,1,1,0,1,1,0,.266,.000,.000,0.0,0.0,0.0,9.2,4.1,8.4,6.8,87,102,-2.3
53,Christian Koloko,Toronto Raptors,Charlotte Hornets,0,11.19,0,0,3,0,1,0,.000,,,18.4,11.5,15.3,0.0,0.0,9.2,7.5,69,109,-14.1
54,Malachi Flynn,Toronto Raptors,Charlotte Hornets,0,3.42,0,0,1,1,0,0,.000,.000,.000,0.0,35.1,15.6,0.0,13.7,0.0,12.2,0,80,-4.6
55,Ron Harper Jr.,Toronto Raptors,Charlotte Hornets,0,3.42,0,2,0,0,1,0,.000,.000,.000,0.0,0.0,0.0,61.8,0.0,28.2,12.2,96,96,7.5
56,Dalano Banton,Toronto Raptors,Charlotte Hornets,0,3.15,1,0,1,0,0,0,.266,.000,.000,0.0,39.9,17.8,0.0,0.0,0.0,26.1,61,111,-21.8
57,Joe Wieskamp,Toronto Raptors,Charlotte Hornets,0,2.05,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,118,-10.9
58,Théo Maledon,Charlotte Hornets,Toronto Raptors,1,39.03,13,11,6,2,0,1,.437,.393,.143,3.3,13.4,8.9,45.3,2.6,0.0,25.1,88,124,-6.3
59,Bryce McGowens,Charlotte Hornets,Toronto Raptors,1,35.34,20,3,6,0,0,2,.683,.667,.417,7.3,11.7,9.8,15.2,0.0,0.0,24.6,110,130,-4.3
60,JT Thor,Charlotte Hornets,Toronto Raptors,1,34.23,13,1,7,0,2,3,.658,.611,.667,0.0,21.2,11.8,4.6,0.0,5.1,16.2,103,124,-1.7
61,Svi Mykhailiuk,Charlotte Hornets,Toronto Raptors,1,33.31,17,7,5,1,0,3,.607,.607,.571,0.0,15.6,8.6,38.6,1.5,0.0,22.4,115,126,1.8
62,Nick Richards,Charlotte Hornets,Toronto Raptors,1,27.21,18,1,11,0,0,0,.804,.778,.000,9.5,34.3,23.3,7.4,0.0,0.0,19.2,166,125,5.3
63,Kai Jones,Charlotte Hornets,Toronto Raptors,1,22.50,4,2,4,0,1,0,.500,.500,.000,5.7,13.7,10.1,13.2,0.0,3.8,10.3,101,127,-5.2
64,James Bouknight,Charlotte Hornets,Toronto Raptors,1,22.21,8,0,1,0,0,2,.444,.444,.667,0.0,4.7,2.6,0.0,0.0,0.0,21.0,74,132,-15.1
65,Xavier Sneed,Charlotte Hornets,Toronto Raptors,1,13.13,2,1,1,0,1,0,.347,.000,.500,0.0,7.9,4.4,10.1,0.0,6.6,10.2,94,126,-9.8
66,Kobi Simmons,Charlotte Hornets,Toronto Raptors,1,11.40,5,1,1,0,0,1,.512,.375,.750,0.0,8.9,5.0,12.9,0.0,0.0,23.6,93,132,-9.0
67,Tyler Herro,Miami Heat,Detroit Pistons,0,37.46,18,2,5,1,0,2,.533,.500,.438,0.0,18.7,9.3,7.9,1.4,0.0,23.1,103,119,-7.3
68,Gabe Vincent,Miami Heat,Detroit Pistons,0,36.07,22,2,3,1,0,6,.786,.786,.786,0.0,11.7,5.9,8.8,1.5,0.0,18.9,148,120,4.7
69,Jimmy Butler,Miami Heat,Detroit Pistons,0,35.29,27,8,8,4,0,0,.802,.750,.000,0.0,31.8,15.9,37.5,5.9,0.0,25.9,155,107,15.3
70,Bam Adebayo,Miami Heat,Detroit Pistons,0,31.02,18,2,4,2,0,0,.712,.600,.000,9.1,9.1,9.1,9.8,3.4,0.0,21.4,144,116,0.6
71,Max Strus,Miami Heat,Detroit Pistons,0,29.21,9,2,3,0,0,2,.414,.400,.800,0.0,14.4,7.2,9.1,0.0,0.0,18.1,92,123,-11.0
72,Caleb Martin,Miami Heat,Detroit Pistons,0,29.48,6,3,4,3,0,0,.510,.400,.200,9.5,9.5,9.5,12.8,5.3,0.0,9.6,139,111,0.9
73,Kyle Lowry,Miami Heat,Detroit Pistons,0,23.28,11,5,2,1,1,2,.751,.667,.833,0.0,12.0,6.0,29.3,2.2,4.5,21.4,119,114,0.1
74,Kevin Love,Miami Heat,Detroit Pistons,0,16.58,7,2,4,0,1,1,.500,.500,.571,8.3,25.0,16.6,17.4,0.0,6.3,20.1,117,116,-2.0
75,Killian Hayes,Detroit Pistons,Miami Heat,1,42.07,7,8,1,0,0,0,.415,.375,.375,0.0,3.4,1.7,28.0,0.0,0.0,14.3,86,135,-11.6
76,Jaden Ivey,Detroit Pistons,Miami Heat,1,37.05,30,7,4,1,0,4,.872,.867,.400,0.0,15.2,7.6,41.6,1.4,0.0,29.1,135,130,9.6
77,Jalen Duren,Detroit Pistons,Miami Heat,1,35.54,20,1,14,1,1,0,.903,.875,.000,11.8,43.3,27.5,5.0,1.5,3.0,17.7,158,124,6.1
78,James Wiseman,Detroit Pistons,Miami Heat,1,29.41,14,1,6,0,0,0,.444,.429,.000,9.5,19.0,14.3,6.1,0.0,0.0,27.4,94,133,-12.9
79,Isaiah Livers,Detroit Pistons,Miami Heat,1,23.37,15,1,3,0,0,4,.727,.667,.667,0.0,17.9,9.0,7.3,0.0,0.0,23.3,131,133,2.1
80,Cory Joseph,Detroit Pistons,Miami Heat,1,27.35,6,1,0,1,0,2,.429,.429,.857,0.0,0.0,0.0,5.4,1.9,0.0,12.3,93,131,-6.9
81,Eugene Omoruyi,Detroit Pistons,Miami Heat,1,25.53,11,2,4,2,0,1,.606,.417,.500,5.5,16.4,10.9,11.5,4.1,0.0,17.0,141,124,4.1
