,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Jayson Tatum,Boston Celtics,Atlanta Hawks,0,39.52,30,7,14,1,2,4,.689,.650,.500,5.5,30.1,18.3,25.0,1.2,4.1,24.2,158,118,13.6
1,Jaylen Brown,Boston Celtics,Atlanta Hawks,0,39.35,32,2,5,0,1,6,.640,.640,.320,0.0,12.6,6.6,7.8,0.0,2.1,30.2,120,128,-0.2
2,Marcus Smart,Boston Celtics,Atlanta Hawks,0,32.33,22,4,4,1,0,2,.689,.583,.417,10.1,3.1,6.4,15.5,1.5,0.0,24.4,142,129,3.0
3,Derrick White,Boston Celtics,Atlanta Hawks,0,30.16,7,2,2,0,1,1,.389,.389,.556,3.6,3.3,3.4,7.5,0.0,2.7,14.6,91,130,-11.2
4,Al Horford,Boston Celtics,Atlanta Hawks,0,29.54,10,4,12,2,3,2,.625,.625,.750,10.9,30.1,20.9,15.8,3.3,8.2,11.8,158,110,9.6
5,Malcolm Brogdon,Boston Celtics,Atlanta Hawks,0,29.28,17,4,2,0,0,1,.576,.500,.385,3.7,3.4,3.5,17.5,0.0,0.0,22.2,138,132,-2.1
6,Grant Williams,Boston Celtics,Atlanta Hawks,0,17.22,3,1,2,1,0,1,.375,.375,.500,6.3,5.8,6.0,6.2,2.8,0.0,12.7,87,125,-7.6
7,Robert Williams,Boston Celtics,Atlanta Hawks,0,16.35,4,0,6,2,3,0,1.000,1.000,.000,0.0,36.2,18.9,0.0,5.9,14.7,8.0,113,98,5.8
8,Sam Hauser,Boston Celtics,Atlanta Hawks,0,4.21,3,0,0,0,0,1,1.500,1.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,10.2,300,133,9.9
9,Payton Pritchard,Boston Celtics,Atlanta Hawks,0,0.02,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,133,-9.2
10,Trae Young,Atlanta Hawks,Boston Celtics,1,40.19,30,10,3,1,2,4,.476,.393,.429,0.0,8.1,3.9,35.8,1.2,4.6,38.2,100,132,-2.0
11,De'Andre Hunter,Atlanta Hawks,Boston Celtics,1,38.39,20,1,6,1,1,4,.559,.529,.471,2.6,14.1,8.1,3.5,1.3,2.4,20.6,112,132,-2.5
12,Dejounte Murray,Atlanta Hawks,Boston Celtics,1,37.32,14,11,7,1,0,1,.489,.423,.308,2.7,17.4,9.7,37.4,1.3,0.0,17.2,127,133,1.4
13,John Collins,Atlanta Hawks,Boston Celtics,1,29.21,16,0,4,1,2,3,.948,.938,.500,3.4,11.2,7.1,0.0,1.7,6.3,15.0,137,129,5.1
14,Clint Capela,Atlanta Hawks,Boston Celtics,1,27.44,10,2,10,0,0,0,.714,.714,.000,18.0,19.7,18.8,9.8,0.0,0.0,10.7,168,135,1.5
15,Saddiq Bey,Atlanta Hawks,Boston Celtics,1,22.17,7,1,4,1,0,1,.444,.357,.286,4.5,14.7,9.4,5.4,2.2,0.0,14.9,110,131,-4.5
16,Bogdan Bogdanović,Atlanta Hawks,Boston Celtics,1,19.40,12,1,0,0,0,1,.644,.688,.500,0.0,0.0,0.0,7.7,0.0,0.0,20.0,129,141,-1.7
17,Onyeka Okongwu,Atlanta Hawks,Boston Celtics,1,19.35,6,2,11,0,2,0,.564,.750,.000,15.3,44.6,29.3,13.4,0.0,9.4,13.6,117,122,1.5
18,Jalen Johnson,Atlanta Hawks,Boston Celtics,1,4.53,5,0,0,0,0,1,1.250,1.250,.500,0.0,0.0,0.0,0.0,0.0,0.0,17.3,250,141,21.0
