,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Stephen Curry,Golden State Warriors,Los Angeles Lakers,0,41.59,31,14,10,3,0,3,.488,.450,.467,8.0,20.5,13.9,60.9,3.5,0.0,36.0,116,103,12.6
1,Klay Thompson,Golden State Warriors,Los Angeles Lakers,0,41.00,9,2,5,1,0,3,.409,.409,.818,0.0,15.0,7.1,6.4,1.2,0.0,13.1,82,110,-4.9
2,Andrew Wiggins,Golden State Warriors,Los Angeles Lakers,0,38.40,17,1,4,2,0,2,.539,.500,.429,2.9,9.5,6.1,3.8,2.6,0.0,21.7,92,108,-3.7
3,Draymond Green,Golden State Warriors,Los Angeles Lakers,0,37.14,8,7,10,1,1,0,.680,.600,.200,9.0,23.1,15.7,25.0,1.3,2.1,13.1,103,106,0.8
4,Gary Payton II,Golden State Warriors,Los Angeles Lakers,0,23.22,15,2,3,0,0,1,.833,.833,.222,4.8,10.5,7.5,16.0,0.0,0.0,19.1,143,113,8.2
5,Moses Moody,Golden State Warriors,Los Angeles Lakers,0,19.17,7,0,1,2,1,1,1.167,1.167,.333,0.0,6.4,3.0,0.0,5.1,4.1,9.3,136,100,6.7
6,Donte DiVincenzo,Golden State Warriors,Los Angeles Lakers,0,14.55,10,1,1,0,0,2,.833,.833,.667,0.0,8.3,3.9,11.9,0.0,0.0,21.0,125,114,7.6
7,Kevon Looney,Golden State Warriors,Los Angeles Lakers,0,10.53,4,0,3,0,0,0,.694,1.000,.000,10.3,22.6,16.1,0.0,0.0,0.0,11.8,129,111,-2.5
8,Jordan Poole,Golden State Warriors,Los Angeles Lakers,0,10.24,0,2,3,0,0,0,.000,.000,.500,0.0,35.5,16.9,23.1,0.0,0.0,25.8,22,108,-25.5
9,JaMychal Green,Golden State Warriors,Los Angeles Lakers,0,2.16,0,0,0,0,0,0,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0,116,-41.4
10,Anthony Davis,Los Angeles Lakers,Golden State Warriors,1,43.06,23,2,15,3,0,0,.664,.625,.000,8.6,31.1,20.4,8.0,3.4,0.0,20.8,119,97,6.4
11,LeBron James,Los Angeles Lakers,Golden State Warriors,1,42.57,27,6,9,0,1,2,.496,.440,.360,5.7,18.2,12.3,24.1,0.0,2.5,31.0,103,106,3.5
