,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,1,D.Garland u24.5 Pts,PropBomb,-122,1.0,1.819672131147541,0,Cleveland Cavaliers,D.Garland,Memphis Grizzlies,0.0,0.819672131147541,0.7435897435897436,1,0.2,0,0.6,1,Y
1,3,3,3,K.Love o1.5 Ast,JoeDellera,-110,0.4,0.7636363636363637,0,Cleveland Cavaliers,K.Love,Memphis Grizzlies,0.0,0.3636363636363636,0.55,1,1.0,1,0.6,1,N
2,4,4,4,J.Jackson o2.5 Blk,SBK5065,125,0.63,1.4175,0,Memphis Grizzlies,J.Jackson,Cleveland Cavaliers,1.0,0.7875,0.6666666666666666,1,0.8,1,0.8,1,Y
3,5,5,5,D.Bane o7.5 Rebs+Ast,JoeDellera,-135,0.37,0.644074074074074,0,Memphis Grizzlies,D.Bane,Cleveland Cavaliers,1.0,0.274074074074074,0.7692307692307693,1,1.0,1,0.8,1,Y
4,6,6,6,J.Jackson o2.5 Blk,JoeDellera,125,0.63,1.4175,0,Memphis Grizzlies,J.Jackson,Cleveland Cavaliers,1.0,0.7875,0.6666666666666666,1,0.8,1,0.8,1,Y
5,7,7,7,T.McConnell o12.5 Rebs+Ast,JoeMetz,100,1.0,2.0,0,Indiana Pacers,T.McConnell,Oklahoma City Thunder,0.0,1.0,0.2,0,1.0,1,0.7,1,N
6,9,9,9,T.McConnell o12.5 Rebs+Ast,JoeDellera,-102,0.25,0.4950980392156863,0,Indiana Pacers,T.McConnell,Oklahoma City Thunder,0.0,0.2450980392156863,0.2,0,1.0,1,0.7,1,N
7,10,10,10,T.McConnell o4.5 Rebs,JoeDellera,120,0.35,0.77,0,Indiana Pacers,T.McConnell,Oklahoma City Thunder,0.0,0.42,0.2222222222222222,0,1.0,1,0.7,1,N
8,12,12,12,L.Doncic o2.5 3pt M,JoeDellera,-150,0.75,1.25,0,Dallas Mavericks,L.Doncic,Atlanta Hawks,1.0,0.5,0.525,1,0.6,1,0.5,0,N
9,13,13,13,C.Wood o1.5 Blk,JoeDellera,140,0.84,2.016,0,Dallas Mavericks,C.Wood,Atlanta Hawks,1.0,1.1760000000000002,0.3170731707317073,0,0.6,1,0.6,1,Y
10,14,14,14,T.Murphy o2.5 3pt M,JoeDellera,160,0.4,1.04,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,0.64,0.4772727272727273,0,1.0,1,0.5,0,N
11,16,16,16,D.Daniels o2.5 Ast,JoeDellera,-125,0.2,0.36,0,New Orleans Pelicans,D.Daniels,Miami Heat,1.0,0.1599999999999999,0.3421052631578947,0,1.0,1,0.8,1,Y
12,17,17,17,T.Murphy o2.5 3pt M,SBK5065,160,0.5,1.3,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,0.8,0.4772727272727273,0,1.0,1,0.5,0,N
13,18,18,18,D.Daniels o2.5 Ast,SBK5065,-125,0.8,1.4400000000000002,0,New Orleans Pelicans,D.Daniels,Miami Heat,1.0,0.6400000000000001,0.3421052631578947,0,1.0,1,0.8,1,Y
14,19,19,19,T.Murphy o2.5 3pt M,PropBomb,155,1.0,2.55,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,1.5499999999999998,0.4772727272727273,0,1.0,1,0.5,0,N
15,20,20,20,B.Adebayo o9.5 Rebs,JoeDellera,-140,0.65,1.1142857142857143,0,Miami Heat,B.Adebayo,New Orleans Pelicans,0.0,0.4642857142857143,0.5813953488372093,1,1.0,1,0.9,1,N
16,21,21,21,M.Plumlee o27.5 Pts+Rebs+Ast,PropBetGuy,-122,1.22,2.22,0,Charlotte Hornets,M.Plumlee,Houston Rockets,0.0,1.0000000000000002,0.3541666666666667,0,0.8,1,0.8,1,N
17,22,22,23,J.Brunson u27.5 Pts,JoeDellera,-120,0.15,0.275,0,New York Knicks,J.Brunson,Washington Wizards,1.0,0.125,0.8,1,1.0,1,0.6,1,N
18,23,23,24,A.Edwards o34.5 Pts+Rebs+Ast,PropBetGuy,-120,1.2,2.2,0,Minnesota Timberwolves,A.Edwards,Denver Nuggets,0.0,1.0000000000000002,0.5625,1,1.0,1,0.7,1,N
