,Unnamed: 0,Unnamed: 0.1,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,M.Porter o15.5 Pts,Denver Nuggets,JoeDellera,-115,1.0,1.869565217391304,-3.0758999999999985,M.Porter,Brooklyn Nets,1.0,0.8695652173913042,0.62,1,0.6,1,0.7,1,Y
1,7,7,J.Williams o16.5 Pts,Oklahoma City Thunder,SBK5065,-112,0.35,0.6625,8.208,J.Williams,San Antonio Spurs,0.0,0.3125,0.1770833333333333,0,0.4,0,0.4,0,Y
2,10,10,J.Williams o20.5 Pts+Ast,Oklahoma City Thunder,SBK5065,100,0.2,0.4,0.0,J.Williams,San Antonio Spurs,0.0,0.2,0.1770833333333333,0,0.2,0,0.3,0,Y
3,17,17,J.Randle o8.5 Rebs,New York Knicks,JoeDellera,-130,0.75,1.3269230769230769,-3.0758999999999985,J.Randle,Los Angeles Lakers,0.0,0.5769230769230769,0.6811594202898551,1,0.6,1,0.4,0,N
4,18,18,A.Reaves o11.5 Pts,Los Angeles Lakers,JoeMetz,-113,1.13,2.13,-8.015,A.Reaves,New York Knicks,1.0,1.0,0.4285714285714285,0,0.8,1,0.6,1,Y
