,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,0,0,S.Barnes o0.5 Blk,JoeDellera,-130,0.5,0.8846153846153846,1.422,Toronto Raptors,S.Barnes,Orlando Magic,0,0.3846153846153846,0.6,1,0.8,1,0.9,1,N
1,1,3,3,3,3,F.Wagner o23.5 Pts+Rebs+Ast,SBK5065,-119,0.6,1.104201680672269,8.4506,Orlando Magic,F.Wagner,Toronto Raptors,1,0.504201680672269,0.7674418604651163,1,0.8,1,0.8,1,Y
2,2,4,4,4,4,M.Wagner u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Orlando Magic,M.Wagner,Toronto Raptors,1,0.5000000000000001,0.6956521739130435,1,1.0,1,0.8,1,Y
3,3,7,7,7,7,K.Porzingis u9.5 Rebs,SBK5065,-114,0.57,1.0699999999999998,8.4506,Washington Wizards,K.Porzingis,Indiana Pacers,0,0.4999999999999999,0.6052631578947368,1,0.6,1,0.4,0,Y
4,4,8,8,8,8,B.Hield u18.5 Pts,SBK5065,-125,0.63,1.134,8.4506,Indiana Pacers,B.Hield,Washington Wizards,1,0.5039999999999999,0.5454545454545454,1,0.6,1,0.4,0,N
5,5,9,9,9,9,K.Kuzma u4.5 Ast,SBK5065,-140,0.7,1.2,8.4506,Washington Wizards,K.Kuzma,Indiana Pacers,0,0.5,0.6428571428571429,1,0.6,1,0.4,0,N
6,6,10,10,10,10,M.Turner u8.5 Rebs,SBK5065,-130,0.65,1.15,8.4506,Indiana Pacers,M.Turner,Washington Wizards,1,0.4999999999999999,0.6,1,0.6,1,0.6,1,Y
7,7,12,12,12,12,M.Robinson o1.5 Blk,PropBomb,-140,1.45,2.4857142857142858,14.183,New York Knicks,M.Robinson,Charlotte Hornets,0,1.0357142857142858,0.5555555555555556,1,0.8,1,0.5,0,Y
8,8,13,13,13,13,I.Quickley o11.5 Pts,SBK5065,-110,0.5,0.9545454545454546,8.4506,New York Knicks,I.Quickley,Charlotte Hornets,0,0.4545454545454546,0.5,0,0.8,1,0.9,1,N
9,9,14,14,14,14,I.Quickley o14.5 Pts,SBK5065,220,0.2,0.6400000000000001,8.4506,New York Knicks,I.Quickley,Charlotte Hornets,0,0.4400000000000001,0.3636363636363636,0,0.6,1,0.7,1,N
10,10,19,19,19,19,C.Capela o11.5 Pts,SBK5065,-124,0.62,1.12,8.4506,Atlanta Hawks,C.Capela,Brooklyn Nets,0,0.5000000000000001,0.5555555555555556,1,0.8,1,0.7,1,Y
11,11,21,21,21,21,K.Irving o23.5 Pts,JoeMetz,-105,1.05,2.05,-22.7,Brooklyn Nets,K.Irving,Atlanta Hawks,1,0.9999999999999998,0.65625,1,0.6,1,0.7,1,Y
12,12,28,28,28,28,D.Sabonis o6.5 Ast,SBK5065,112,0.5,1.06,8.4506,Sacramento Kings,D.Sabonis,Cleveland Cavaliers,0,0.56,0.6341463414634146,1,1.0,1,0.8,1,N
13,13,29,29,29,29,J.Harden o8.5 Ast,JoeDellera,-130,0.75,1.3269230769230769,1.422,Philadelphia 76ers,J.Harden,Los Angeles Lakers,1,0.5769230769230769,0.75,1,1.0,1,0.8,1,Y
14,14,30,30,30,30,J.Harden o9.5 Ast,JoeDellera,125,0.25,0.5625,1.422,Philadelphia 76ers,J.Harden,Los Angeles Lakers,1,0.3125,0.6428571428571429,1,1.0,1,0.8,1,Y
15,15,31,31,31,31,D.Melton u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Philadelphia 76ers,D.Melton,Los Angeles Lakers,1,0.5000000000000001,0.775,1,1.0,1,0.8,1,N
16,16,32,32,32,32,J.Harden o21.5 Pts,SBK5065,-110,0.55,1.05,8.4506,Philadelphia 76ers,J.Harden,Los Angeles Lakers,1,0.5,0.5,0,0.6,1,0.6,1,Y
17,17,37,37,37,37,Z.Williamson o25.5 Pts,PropBomb,-110,1.1,2.1,0.0,New Orleans Pelicans,Z.Williamson,Phoenix Suns,1,1.0,0.5862068965517241,1,0.6,1,0.8,1,Y
18,18,41,41,41,41,M.Bridges u4.5 Rebs,GreenDotDaily,-125,1.0,1.8,0.0,Phoenix Suns,M.Bridges,New Orleans Pelicans,0,0.8,0.5454545454545454,1,0.6,1,0.7,1,N
19,19,45,45,45,45,D.Ayton o8.5 Rebs,ChicagoFlow,140,0.75,1.7999999999999998,0.0,Phoenix Suns,D.Ayton,New Orleans Pelicans,0,1.0499999999999998,0.5526315789473685,1,0.8,1,0.6,1,Y
20,20,46,46,46,46,Z.Williamson u8.5 Rebs,ChicagoFlow,-105,0.15,0.2928571428571428,0.0,New Orleans Pelicans,Z.Williamson,Phoenix Suns,1,0.1428571428571428,0.7241379310344828,1,0.8,1,0.8,1,Y
