,Unnamed: 0,Unnamed: 0.1,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,B.Adebayo u9.5 Rebs,Miami Heat,SBK5065,-120,0.6,1.1,15.746200000000002,B.Adebayo,Memphis Grizzlies,1,0.5000000000000001,0.5538461538461539,1,1.0,1,0.9,1,Y
1,3,3,J.Embiid o34.5 Pts+Ast,Philadelphia 76ers,SBK5065,-120,0.6,1.1,15.746200000000002,J.Embiid,Cleveland Cavaliers,0,0.5000000000000001,0.5925925925925926,1,1.0,1,0.7,1,Y
2,4,4,T.Harris o4.5 Rebs,Philadelphia 76ers,MrTuttle05,-125,1.25,2.25,3.29,T.Harris,Cleveland Cavaliers,0,1.0,0.6774193548387096,1,0.6,1,0.5,0,Y
3,5,5,J.Embiid o31.5 Pts,Philadelphia 76ers,JoeMetz,-105,1.05,2.05,-7.945,J.Embiid,Cleveland Cavaliers,0,0.9999999999999998,0.5555555555555556,1,0.8,1,0.6,1,Y
4,6,6,J.Embiid o34.5 Pts+Ast,Philadelphia 76ers,JoeDellera,-120,0.65,1.1916666666666669,-8.423299999999998,J.Embiid,Cleveland Cavaliers,0,0.5416666666666669,0.5925925925925926,1,1.0,1,0.7,1,Y
5,7,7,J.Embiid o3.5 Ast,Philadelphia 76ers,JoeDellera,-120,1.1,2.016666666666667,0.0,J.Embiid,Cleveland Cavaliers,0,0.916666666666667,0.5555555555555556,1,0.8,1,0.7,1,N
6,8,8,D.Russell o22.5 Pts,Los Angeles Lakers,PropBomb,-120,1.2,2.2,14.420000000000002,D.Russell,Houston Rockets,0,1.0000000000000002,0.2857142857142857,0,0.4,0,0.2857142857142857,0,N
7,9,9,J.Vanderbilt u10.5 Pts,Los Angeles Lakers,PropBomb,-130,1.3,2.3,0.0,J.Vanderbilt,Houston Rockets,0,0.9999999999999998,0.7692307692307693,1,0.8,1,0.8,1,N
8,10,10,A.Reaves o3.5 Ast,Los Angeles Lakers,MrTuttle05,-101,1.01,2.01,3.29,A.Reaves,Houston Rockets,0,0.9999999999999998,0.2745098039215686,0,1.0,1,0.8,1,Y
9,12,12,P.Beverley o7.5 Rebs+Ast,Chicago Bulls,SBK5065,-128,0.64,1.14,15.746200000000002,P.Beverley,Sacramento Kings,1,0.5000000000000001,0.75,1,0.8,1,0.75,1,Y
10,13,13,Z.LaVine o27.5 Pts,Chicago Bulls,PropBomb,-125,1.25,2.25,14.420000000000002,Z.LaVine,Sacramento Kings,1,1.0,0.3015873015873015,0,0.8,1,0.6,1,N
11,14,14,P.Beverley o3.5 Ast,Chicago Bulls,MrTuttle05,112,1.0,2.12,3.29,P.Beverley,Sacramento Kings,1,1.12,0.625,1,0.6,1,0.625,1,N
12,17,17,J.Brown o25.5 Pts,Boston Celtics,PropBetGuy,-110,1.1,2.1,3.8722,J.Brown,Minnesota Timberwolves,0,1.0,0.5964912280701754,1,0.6,1,0.6,1,Y
13,19,19,K.Looney u9.5 Pts+Ast,Golden State Warriors,MrTuttle05,-100,1.0,2.0,3.29,K.Looney,Los Angeles Clippers,0,1.0,0.5072463768115942,1,0.6,1,0.4,0,Y
