,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,3,M.Porter o2.5 3pt M,Denver Nuggets,iamrahstradamus,-140,1.4,2.4,0.0,M.Porter,Miami Heat,1,1.0,0.6233766233766234,1,0.8,1,0.6,1,N
1,5,C.Martin u7.5 Rebs,Miami Heat,SBK5065,-138,0.69,1.19,-0.7729000000000006,C.Martin,Denver Nuggets,0,0.5,0.8241758241758241,1,0.6,1,0.8,1,Y
2,6,A.Gordon o2.5 Ast,Denver Nuggets,ChrisRaybon,-120,1.0,1.8333333333333333,4.0122,A.Gordon,Miami Heat,1,0.8333333333333335,0.5180722891566265,1,0.8,1,0.6,1,N
3,7,G.Vincent u2.5 Rebs,Miami Heat,ChrisRaybon,-175,1.0,1.5714285714285714,0.0,G.Vincent,Denver Nuggets,0,0.5714285714285714,0.6436781609195402,1,0.8,1,0.6,1,Y
4,8,J.Butler o5.5 Ast,Miami Heat,ChrisRaybon,-140,1.0,1.7142857142857144,0.0,J.Butler,Denver Nuggets,0,0.7142857142857144,0.4698795180722891,0,0.6,1,0.7,1,Y
5,9,C.Martin u7.5 Rebs,Miami Heat,ChrisRaybon,-138,1.0,1.7246376811594204,0.0,C.Martin,Denver Nuggets,0,0.7246376811594204,0.8241758241758241,1,0.6,1,0.8,1,Y
6,10,C.Martin o15.5 Pts,Miami Heat,RenoJonny,-110,1.1,2.1,0.3499999999999998,C.Martin,Denver Nuggets,0,1.0,0.1868131868131868,0,0.8,1,0.5,0,N
7,12,N.Jokic Triple-Double Yes,Denver Nuggets,SimonHunterNFL,105,0.5,1.025,-2.5,N.Jokic,Miami Heat,1,0.5249999999999999,0.4404761904761904,0,0.8,1,0.6,1,Y
8,14,M.Porter o2.5 3pt M,Denver Nuggets,JoeDellera,-130,1.0,1.7692307692307692,0.0,M.Porter,Miami Heat,1,0.7692307692307692,0.6233766233766234,1,0.8,1,0.6,1,N
9,15,C.Martin u7.5 Rebs,Miami Heat,JoeDellera,-138,0.5,0.8623188405797102,0.0,C.Martin,Denver Nuggets,0,0.3623188405797102,0.8241758241758241,1,0.6,1,0.8,1,Y
10,17,K.Caldwell-Pope o2.5 3pt M,Denver Nuggets,GDAWG5000,235,0.5,1.675,-7.91,K.Caldwell-Pope,Miami Heat,1,1.175,0.3296703296703296,0,0.6,1,0.5,0,N
11,19,J.Butler u26.5 Pts,Miami Heat,AnthonyDabbundo,-105,0.53,1.0347619047619048,6.633599999999999,J.Butler,Denver Nuggets,0,0.5047619047619047,0.6506024096385542,1,0.6,1,0.5,0,Y
12,20,J.Butler u33.5 Pts+Ast,Miami Heat,PropBetGuy,-120,1.2,2.2,10.750000000000002,J.Butler,Denver Nuggets,0,1.0000000000000002,0.6867469879518072,1,0.6,1,0.6,1,Y
13,21,C.Martin u6.5 Rebs,Miami Heat,GreenDotDaily,102,1.0,2.02,0.0,C.Martin,Denver Nuggets,0,1.02,0.7692307692307693,1,0.6,1,0.8,1,Y
14,23,J.Butler u27.5 Pts,Miami Heat,GreenDotDaily,-120,1.0,1.8333333333333333,0.0,J.Butler,Denver Nuggets,0,0.8333333333333335,0.7228915662650602,1,0.6,1,0.7,1,Y
15,24,C.Martin u23.5 Pts+Rebs,Miami Heat,charliedisturco,-125,0.63,1.134,-5.515,C.Martin,Denver Nuggets,0,0.5040000000000001,0.8681318681318682,1,0.6,1,0.7,1,Y
