,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,1,1,1,1,D.Fox o29.5 Pts,KurtisSenif,185,0.1,0.285,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.1849999999999999,0.2564102564102564,0,0.2,0,0.3,0,N
1,1,3,3,3,3,D.Fox o7.5 Ast,KurtisSenif,150,0.1,0.25,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.15,0.3333333333333333,0,0.6,1,0.5,0,N
2,2,5,5,5,5,D.Fox o32.5 Pts+Ast,KurtisSenif,105,0.2,0.41,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.2099999999999999,0.4358974358974359,0,0.4,0,0.5,0,N
3,3,6,6,6,6,D.Fox o37.5 Pts+Rebs+Ast,KurtisSenif,105,0.25,0.5125,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.2624999999999999,0.358974358974359,0,0.2,0,0.3,0,N
4,4,9,9,9,9,D.Fox o6.5 Ast,KurtisSenif,-110,0.2,0.3818181818181818,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.1818181818181817,0.3846153846153846,0,0.6,1,0.5,0,N
5,5,11,11,11,11,D.Fox o25.5 Pts,KurtisSenif,-115,0.35,0.6543478260869564,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.3043478260869564,0.4358974358974359,0,0.2,0,0.3,0,Y
6,6,12,12,12,12,D.Fox o30.5 Pts+Rebs,KurtisSenif,-115,0.2,0.3739130434782609,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.1739130434782608,0.3846153846153846,0,0.2,0,0.3,0,N
7,7,13,13,13,13,F.Wagner o18.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.9999999999999996,0.6744186046511628,1,0.8,1,0.8,1,N
8,8,14,14,14,14,F.Wagner o18.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.5043478260869564,0.6744186046511628,1,0.8,1,0.8,1,N
9,9,15,15,15,15,D.Ayton u20.5 Pts,JoeDellera,-115,0.3,0.5608695652173913,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.2608695652173913,0.6578947368421053,1,0.8,1,0.7,1,Y
10,10,16,16,16,16,D.Ayton u20.5 Pts,JoeDellera,-115,0.13,0.2430434782608695,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.1130434782608695,0.6578947368421053,1,0.8,1,0.7,1,Y
11,11,17,17,17,17,L.Ball o37.5 Pts+Rebs+Ast,JoeMetz,-115,1.15,2.1499999999999995,0,Charlotte Hornets,L.Ball,Golden State Warriors,0,0.9999999999999996,0.6,1,0.8,1,0.7,1,N
12,12,18,18,18,18,J.Harden o30.5 Pts+Ast,JoeDellera,-115,0.43,0.8039130434782608,0,Philadelphia 76ers,J.Harden,Washington Wizards,0,0.3739130434782607,0.6785714285714286,1,1.0,1,0.8,1,Y
13,13,19,19,19,19,J.Harden o30.5 Pts+Ast,PropBetGuy,-115,1.0,1.869565217391304,0,Philadelphia 76ers,J.Harden,Washington Wizards,0,0.869565217391304,0.6785714285714286,1,1.0,1,0.8,1,Y
14,14,20,20,20,20,I.Zubac u19.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.0843478260869563,0,Los Angeles Clippers,I.Zubac,Toronto Raptors,0,0.5043478260869564,0.5581395348837209,1,0.8,1,0.7,1,N
15,15,29,29,29,29,K.Porter u19.5 Pts,PropBomb,-125,1.25,2.25,0,Houston Rockets,K.Porter,Boston Celtics,0,1.0,0.525,1,0.4,0,0.4,0,N
16,16,34,34,34,34,D.Fox o4.5 Rebs,KurtisSenif,-135,0.35,0.6092592592592592,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.2592592592592592,0.4871794871794871,0,0.2,0,0.2,0,N
17,17,35,35,35,35,J.Embiid o9.5 Rebs,ChicagoFlow,-140,1.43,2.4514285714285715,0,Philadelphia 76ers,J.Embiid,Washington Wizards,0,1.0214285714285716,0.625,1,0.8,1,0.6,1,Y
