,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,B.Adebayo u3.5 Ast,The_Oddsmaker,-110,1.0,1.9090909090909087,0,Miami Heat,B.Adebayo,Boston Celtics,1,0.9090909090909088,0.6027397260273972,1,0.8,1,0.7,1,X
1,3,3,3,R.Williams u6.5 Rebs,PropBomb,-140,1.0,1.7142857142857144,0,Boston Celtics,R.Williams,Miami Heat,0,0.7142857142857144,0.3529411764705882,0,0.4,0,0.3,0,X
2,4,4,4,M.Brogdon u13.5 Pts,PropBomb,-130,1.0,1.7692307692307692,0,Boston Celtics,M.Brogdon,Miami Heat,0,0.7692307692307692,0.4615384615384615,0,0.8,1,0.6,1,X
3,5,5,5,D.White u2.5 Ast,SBK5065,-122,0.5,0.9098360655737704,0,Boston Celtics,D.White,Miami Heat,0,0.4098360655737704,0.358974358974359,0,0.8,1,0.5,0,X
4,6,6,6,J.Tatum o29.5 Pts,charliedisturco,-118,0.5,0.923728813559322,0,Boston Celtics,J.Tatum,Miami Heat,0,0.423728813559322,0.5833333333333334,1,0.8,1,0.6,1,X
5,7,7,7,C.Martin o11.5 Pts,GreenDotDaily,-163,0.61,0.9842331288343558,0,Miami Heat,C.Martin,Boston Celtics,1,0.3742331288343558,0.3880597014925373,0,0.6,1,0.4,0,X
6,8,8,8,J.Tatum o10.5 Rebs,VegasRefund,110,1.1,2.3100000000000005,0,Boston Celtics,J.Tatum,Miami Heat,0,1.2100000000000004,0.3888888888888889,0,0.4,0,0.5,0,X
7,9,9,9,J.Tatum o29.5 Pts,VegasRefund,-110,1.0,1.9090909090909087,0,Boston Celtics,J.Tatum,Miami Heat,0,0.9090909090909088,0.5833333333333334,1,0.8,1,0.6,1,X
8,10,10,10,C.Martin o11.5 Pts,PropBomb,-130,1.0,1.7692307692307692,0,Miami Heat,C.Martin,Boston Celtics,1,0.7692307692307692,0.3880597014925373,0,0.6,1,0.4,0,X
9,14,14,14,C.Martin o14.5 Pts,GDAWG5000,200,1.0,3.0,0,Miami Heat,C.Martin,Boston Celtics,1,2.0,0.2388059701492537,0,0.6,1,0.3,0,X
10,15,15,15,K.Love u6.5 Rebs+Ast,PropBomb,-131,1.5,2.645038167938931,0,Miami Heat,K.Love,Boston Celtics,1,1.1450381679389312,0.4444444444444444,0,0.6,1,0.6,1,X
11,17,17,17,C.Martin o1.5 3pt M,JoeDellera,-145,0.34,0.5744827586206898,0,Miami Heat,C.Martin,Boston Celtics,1,0.2344827586206897,0.4029850746268656,0,0.6,1,0.5,0,X
