,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,2,2,2,S.Curry o10.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Brooklyn Nets,S.Curry,Boston Celtics,1,0.4166666666666668,0.4333333333333333,0,0.8,1,0.6,1,Y
1,1,1,3,3,3,M.Smart o11.5 Pts,PropBomb,-125,1.0,1.8,0,Boston Celtics,M.Smart,Brooklyn Nets,0,0.8,0.5,0,0.6,1,0.4,0,Y
2,2,2,7,7,7,K.Irving o4.5 Ast,PropBomb,-150,1.0,1.6666666666666663,0,Brooklyn Nets,K.Irving,Boston Celtics,1,0.6666666666666663,0.65625,1,1.0,1,0.8,1,Y
3,3,3,8,8,8,L.James o46.5 Pts+Rebs+Ast,daletanhardt,-120,1.25,2.291666666666667,0,Los Angeles Lakers,L.James,Dallas Mavericks,1,1.041666666666667,0.3939393939393939,0,0.8,1,0.6,1,Y
4,4,4,9,9,9,R.Westbrook o30.5 Pts+Rebs+Ast,JoeDellera,-122,0.41,0.7460655737704918,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.3360655737704918,0.475,0,1.0,1,0.8,1,Y
5,5,5,10,10,10,R.Westbrook o30.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.819672131147541,0.475,0,1.0,1,0.8,1,Y
6,6,6,11,11,11,C.Wood o1.5 Blk,GreenDotDaily,-103,0.97,1.911747572815534,0,Dallas Mavericks,C.Wood,Los Angeles Lakers,0,0.941747572815534,0.3170731707317073,0,0.6,1,0.6,1,Y
7,7,7,12,12,12,L.James o34.5 Pts,JoeDellera,130,0.3,0.69,0,Los Angeles Lakers,L.James,Dallas Mavericks,1,0.3899999999999999,0.2121212121212121,0,0.6,1,0.5,0,N
8,8,8,13,13,13,C.Wood o1.5 Blk,JoeDellera,105,0.53,1.0865,0,Dallas Mavericks,C.Wood,Los Angeles Lakers,0,0.5565,0.3170731707317073,0,0.6,1,0.6,1,Y
9,9,9,14,14,14,B.Lopez o1.5 3pt M,JoeDellera,-110,0.91,1.7372727272727273,0,Milwaukee Bucks,B.Lopez,Miami Heat,0,0.8272727272727273,0.5714285714285714,1,0.8,1,0.4,0,Y
10,10,10,17,17,17,A.Simons u27.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Portland Trail Blazers,A.Simons,Cleveland Cavaliers,1,0.819672131147541,0.4390243902439024,0,0.6,1,0.6,1,Y
11,11,11,19,19,19,L.Dort u15.5 Pts+Ast,PropBetGuy,-105,1.0,1.9523809523809523,0,Oklahoma City Thunder,L.Dort,Philadelphia 76ers,0,0.9523809523809524,0.4883720930232558,0,0.6,1,0.5,0,Y
12,12,12,21,21,21,M.Plumlee o25.5 Pts+Rebs+Ast,PropBetGuy,-105,1.0,1.9523809523809523,0,Charlotte Hornets,M.Plumlee,Toronto Raptors,0,0.9523809523809524,0.3636363636363636,0,1.0,1,0.7,1,Y
