,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,V.Micic o4.5 Ast,kylemurray03,100,1.0,V.Micic,Charlotte Hornets,Portland Trail Blazers,0.0,2.0,1.0,0.6,1,0.6,1,0.6,1
1,L.Doncic u10.5 Ast,SBK5065,-125,1.0,L.Doncic,Dallas Mavericks,Indiana Pacers,0.0,1.8,0.8,0.7083333333333334,1,0.4,0,0.4,0
2,D.Russell o5.5 Ast,kylemurray03,-130,1.3,D.Russell,Los Angeles Lakers,Phoenix Suns,0.0,2.3,0.9999999999999998,0.5740740740740741,1,0.6,1,0.5,0
3,D.Booker o5.5 Ast,SBK5065,-135,0.68,D.Booker,Phoenix Suns,Los Angeles Lakers,1.0,1.1837037037037037,0.5037037037037037,0.6808510638297872,1,0.6,1,0.6,1
