,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,13,13,13,L.Dort u16.5 Pts+Ast,PropBetGuy,-125,1.0,1.8,0,Oklahoma City Thunder,L.Dort,Chicago Bulls,0,0.8
1,27,27,27,E.Gordon o15.5 Pts+Ast,SBK5065,-130,1.3,2.3,0,Houston Rockets,E.Gordon,Sacramento Kings,0,0.9999999999999998
