,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,N.Marshall o11.5 Pts,PropBomb,Dallas Mavericks,Charlotte Hornets,0.0,0.4242424242424242,0,0.4,0,0.3,0,-124.0,1.24,2.24,0.9999999999999998,N.Marshall,N
1,M.Williams o15.5 Pts,JoeDellera,Charlotte Hornets,Dallas Mavericks,1.0,0.4375,0,0.6,1,0.6,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,M.Williams,N
2,M.Williams o15.5 Pts,allanlemdfs,Charlotte Hornets,Dallas Mavericks,1.0,0.4375,0,0.6,1,0.6,1,-135.0,0.68,1.1837037037037037,0.5037037037037037,M.Williams,N
3,T.Young o34.5 Pts+Ast,PlayerPropSavant,Atlanta Hawks,New York Knicks,0.0,0.5263157894736842,1,0.6,1,0.7,1,-115.0,1.44,2.692173913043478,1.252173913043478,T.Young,N
4,T.Young o12.5 Rebs+Ast,ABonARoll,Atlanta Hawks,New York Knicks,0.0,0.7368421052631579,1,0.6,1,0.6,1,-138.0,1.0,1.7246376811594204,0.7246376811594204,T.Young,N
5,J.Johnson o13.5 Rebs+Ast,FirefighterBets_duplicate,Atlanta Hawks,New York Knicks,0.0,0.696969696969697,1,0.6,1,0.7,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,J.Johnson,Y
6,J.Johnson o13.5 Rebs+Ast,Theotherbabs_duplicate,Atlanta Hawks,New York Knicks,0.0,0.696969696969697,1,0.6,1,0.7,1,-105.0,1.0,1.9523809523809523,0.9523809523809524,J.Johnson,Y
7,D.Hunter o15.5 Pts,therocketplays,Atlanta Hawks,New York Knicks,0.0,0.75,1,0.6,1,0.8,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,D.Hunter,Y
8,J.Johnson o3.5 Ast,CamIsMoney18_duplicate,Atlanta Hawks,New York Knicks,0.0,0.7575757575757576,1,0.4,0,0.6,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,J.Johnson,Y
9,K.Durant u38.5 Pts+Rebs+Ast,LinesAtLunch,Phoenix Suns,Cleveland Cavaliers,0.0,0.5161290322580645,1,0.4,0,0.5,0,-120.0,1.2,2.2,1.0000000000000002,K.Durant,Y
10,K.Durant u38.5 Pts+Rebs+Ast,sandyplashkes,Phoenix Suns,Cleveland Cavaliers,0.0,0.5161290322580645,1,0.4,0,0.5,0,-120.0,1.2,2.2,1.0000000000000002,K.Durant,Y
11,N.Richards o18.5 Pts+Rebs,JoeDellera,Phoenix Suns,Cleveland Cavaliers,0.0,1.0,1,1.0,1,1.0,1,-115.0,1.0,1.869565217391304,0.8695652173913042,N.Richards,N
12,N.Richards o9.5 Pts,FirefighterBets,Phoenix Suns,Cleveland Cavaliers,0.0,1.0,1,1.0,1,1.0,1,-125.0,1.0,1.8,0.8,N.Richards,N
