,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,M.Bridges u27.5 Pts+Rebs+Ast,kylemurray03,Charlotte Hornets,Minnesota Timberwolves,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,M.Bridges,Y
1,R.Gobert o23.5 Pts+Rebs,Markus_Markets,Minnesota Timberwolves,Charlotte Hornets,1.0,0.5,0,0.4,0,0.5,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,R.Gobert,N
2,C.Cunningham o37.5 Pts+Rebs+Ast,sandyplashkes,Detroit Pistons,Los Angeles Lakers,1.0,0.4285714285714285,0,0.2,0,0.4285714285714285,0,-106.0,1.06,2.06,1.0,C.Cunningham,N
3,T.Hardaway u2.5 Rebs,JoeDellera,Detroit Pistons,Los Angeles Lakers,1.0,0.8571428571428571,1,1.0,1,0.8571428571428571,1,-185.0,1.0,1.5405405405405406,0.5405405405405406,T.Hardaway,Y
4,C.Cunningham o37.5 Pts+Rebs+Ast,RoyalsProps,Detroit Pistons,Los Angeles Lakers,1.0,0.4285714285714285,0,0.2,0,0.4285714285714285,0,-110.0,1.65,3.15,1.5,C.Cunningham,Y
5,J.Morant o21.5 Pts,Markus_Markets,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,J.Morant,Y
6,J.Morant o21.5 Pts,JoeDellera,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,J.Morant,Y
7,J.Morant o20.5 Pts,kylemurray03,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-130.0,1.3,2.3,0.9999999999999998,J.Morant,Y
8,B.Adebayo o29.5 Pts+Rebs+Ast,sandyplashkes,Miami Heat,Sacramento Kings,1.0,0.2,0,0.2,0,0.2,0,-108.0,1.08,2.08,1.0,B.Adebayo,Y
9,D.Ayton o26.5 Pts+Rebs,Mjaybrxd,Portland Trail Blazers,New Orleans Pelicans,0.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-120.0,1.0,1.8333333333333333,0.8333333333333335,D.Ayton,Y
10,D.Ayton o15.5 Pts,RoyalsProps,Portland Trail Blazers,New Orleans Pelicans,0.0,0.2857142857142857,0,0.4,0,0.2857142857142857,0,-120.0,1.2,2.2,1.0000000000000002,D.Ayton,Y
11,Y.Missi o1.5 Blk,JoeDellera,New Orleans Pelicans,Portland Trail Blazers,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,105.0,1.0,2.05,1.0499999999999998,Y.Missi,N
12,Y.Missi o1.5 Blk,kylemurray03,New Orleans Pelicans,Portland Trail Blazers,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,100.0,1.0,2.0,1.0,Y.Missi,N
13,C.Braun o12.5 Pts,PropBetGuy,Denver Nuggets,Toronto Raptors,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-125.0,1.25,2.25,1.0,C.Braun,Y
14,N.Jokic o11.5 Rebs,JoeDellera,Denver Nuggets,Toronto Raptors,1.0,0.5,0,0.4,0,0.5,0,-115.0,1.0,1.869565217391304,0.8695652173913042,N.Jokic,Y
15,N.Jokic o11.5 Rebs,kylemurray03,Denver Nuggets,Toronto Raptors,1.0,0.5,0,0.4,0,0.5,0,-110.0,1.1,2.1,1.0,N.Jokic,Y
16,J.Johnson u32.5 Pts+Rebs+Ast,sandyplashkes,Atlanta Hawks,Boston Celtics,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,-116.0,1.16,2.16,0.9999999999999998,J.Johnson,Y
17,P.Pritchard o21.5 Pts+Rebs+Ast,kylemurray03,Boston Celtics,Atlanta Hawks,0.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-125.0,1.25,2.25,1.0,P.Pritchard,Y
18,L.Doncic o16.5 Rebs+Ast,Mjaybrxd,Dallas Mavericks,Indiana Pacers,1.0,0.3333333333333333,0,0.2,0,0.3333333333333333,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,L.Doncic,Y
19,P.Washington o19.5 Pts+Rebs+Ast,RoyalsProps,Dallas Mavericks,Indiana Pacers,1.0,0.3333333333333333,0,0.4,0,0.3333333333333333,0,-105.0,1.05,2.05,0.9999999999999998,P.Washington,Y
20,J.Harden o33.5 Pts+Ast,kylemurray03,Los Angeles Clippers,San Antonio Spurs,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,J.Harden,N
