,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,K.Towns o1.5 3pt M,ThePropfessor_,New York Knicks,Milwaukee Bucks,1.0,0.6666666666666666,1,0.6,1,0.5,0,-135.0,1.35,2.35,1.0,K.Towns,Y
1,J.Hart o28.5 Pts+Rebs+Ast,Rotowire Sleeper,New York Knicks,Milwaukee Bucks,1.0,0.5789473684210527,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,J.Hart,N
2,Z.Williamson o6.5 Rebs,Rotowire Prizepicks,New Orleans Pelicans,Boston Celtics,0.0,0.5714285714285714,1,0.6,1,0.5714285714285714,1,100.0,1.5,3.0,1.5,Z.Williamson,Y
3,P.Banchero o10.5 Rebs+Ast,Rotowire Prizepicks,Orlando Magic,Philadelphia 76ers,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,1.5,3.0,1.5,P.Banchero,Y
4,P.Banchero o6.5 Rebs,Rotowire Prizepicks,Orlando Magic,Philadelphia 76ers,1.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,100.0,1.5,3.0,1.5,P.Banchero,Y
5,J.Poole o22.5 Pts+Ast,Rotowire Sleeper,Washington Wizards,Oklahoma City Thunder,1.0,0.7241379310344828,1,1.0,1,0.9,1,100.0,1.5,3.0,1.5,J.Poole,N
6,M.Bridges o17.2 Pts,RoyalsProps_duplicate,New York Knicks,Milwaukee Bucks,1.0,0.5128205128205128,1,0.6,1,0.6,1,-104.0,1.04,2.04,1.0,M.Bridges,N
7,M.Bridges o17.2 Pts,RoyalsProps_duplicate,Charlotte Hornets,Phoenix Suns,0.0,0.5454545454545454,1,0.8,1,0.7,1,-104.0,1.04,2.04,1.0,M.Bridges,N
8,N.Jokic o12.5 Rebs,JoeDellera,Denver Nuggets,Dallas Mavericks,0.0,0.5625,1,0.6,1,0.6,1,-108.0,1.0,1.925925925925926,0.925925925925926,N.Jokic,Y
9,P.Banchero o29.5 Pts+Rebs,the_degenerates,Orlando Magic,Philadelphia 76ers,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-120.0,1.2,2.2,1.0000000000000002,P.Banchero,N
10,J.Hart u14.5 Pts,TopShelfAction,New York Knicks,Milwaukee Bucks,1.0,0.5789473684210527,1,0.2,0,0.3,0,-115.0,0.6,1.1217391304347826,0.5217391304347826,J.Hart,Y
11,J.Hart o23.5 Pts+Rebs,FirefighterBets,New York Knicks,Milwaukee Bucks,1.0,0.5263157894736842,1,0.8,1,0.9,1,-125.0,1.0,1.8,0.8,J.Hart,N
12,J.Brown o21.5 Pts,FirefighterBets,Boston Celtics,New Orleans Pelicans,1.0,0.6451612903225806,1,0.4,0,0.5,0,-125.0,1.0,1.8,0.8,J.Brown,N
13,T.Prince o5.5 Pts,Rotowire Sleeper,Milwaukee Bucks,New York Knicks,0.0,0.5833333333333334,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,T.Prince,N
14,N.Vucevic o28.5 Pts+Rebs,Rotowire Prizepicks,Chicago Bulls,Sacramento Kings,1.0,0.7567567567567568,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,N.Vucevic,N
15,N.Vucevic o9.5 Rebs,FirefighterBets,Chicago Bulls,Sacramento Kings,1.0,0.6486486486486487,1,0.8,1,0.8,1,-125.0,1.0,1.8,0.8,N.Vucevic,N
16,P.Banchero o29.5 Pts+Rebs,Rotowire Prizepicks,Orlando Magic,Philadelphia 76ers,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,1.5,3.0,1.5,P.Banchero,N
17,D.Lillard o6.5 Ast,FirefighterBets,Milwaukee Bucks,New York Knicks,0.0,0.5862068965517241,1,0.6,1,0.7,1,-105.0,1.0,1.9523809523809523,0.9523809523809524,D.Lillard,N
18,P.Banchero o29.5 Pts+Rebs,Rotowire Sleeper,Orlando Magic,Philadelphia 76ers,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,1.5,3.0,1.5,P.Banchero,N
19,N.Vucevic o32.5 Pts+Rebs+Ast,Rotowire Prizepicks,Chicago Bulls,Sacramento Kings,1.0,0.5945945945945946,1,0.6,1,0.4,0,100.0,1.5,3.0,1.5,N.Vucevic,N
20,J.Tatum o8.5 Rebs,MillyProps,Boston Celtics,New Orleans Pelicans,1.0,0.6,1,0.4,0,0.6,1,-125.0,1.0,1.8,0.8,J.Tatum,Y
21,J.Murray o3.5 Rebs,PvB_Bets,Denver Nuggets,Dallas Mavericks,0.0,0.6129032258064516,1,0.6,1,0.6,1,130.0,1.0,2.3,1.2999999999999998,J.Murray,N
22,M.Porter o23.5 Pts+Rebs+Ast,Rotowire Prizepicks,Denver Nuggets,Dallas Mavericks,0.0,0.8378378378378378,1,1.0,1,1.0,1,100.0,1.5,3.0,1.5,M.Porter,N
23,N.Clowney o18.5 Pts+Rebs,Rotowire Sleeper,Brooklyn Nets,Utah Jazz,0.0,0.25,0,0.4,0,0.4,0,100.0,1.5,3.0,1.5,N.Clowney,N
24,J.Tatum o8.5 Rebs,PvB_Bets,Boston Celtics,New Orleans Pelicans,1.0,0.6,1,0.4,0,0.6,1,-125.0,1.0,1.8,0.8,J.Tatum,Y
25,P.Banchero o30.5 Pts+Rebs,kylemurray03,Orlando Magic,Philadelphia 76ers,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-110.0,1.1,2.1,1.0,P.Banchero,N
26,M.Williams o12.5 Pts+Ast,kylemurray03,Charlotte Hornets,Phoenix Suns,0.0,0.6153846153846154,1,0.6,1,0.7,1,-120.0,1.2,2.2,1.0000000000000002,M.Williams,Y
27,D.Garland u21.5 Pts,itsbucketsnba,Cleveland Cavaliers,Indiana Pacers,1.0,0.4722222222222222,0,0.6,1,0.4,0,-120.0,1.0,1.8333333333333333,0.8333333333333335,D.Garland,Y
28,G.Bitadze o20.5 Pts+Rebs+Ast,Rotowire Prizepicks,Orlando Magic,Philadelphia 76ers,1.0,0.5428571428571428,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,G.Bitadze,N
29,J.Isaac o10.5 Pts+Rebs,Rotowire Sleeper,Orlando Magic,Philadelphia 76ers,1.0,0.5,0,0.8,1,0.7,1,100.0,1.5,3.0,1.5,J.Isaac,Y
30,M.Strus o12.5 Pts+Rebs,Rotowire Sleeper,Cleveland Cavaliers,Indiana Pacers,1.0,0.3333333333333333,0,0.6,1,0.3333333333333333,0,100.0,1.5,3.0,1.5,M.Strus,N
31,M.Williams o12.5 Pts+Ast,JoeDellera,Charlotte Hornets,Phoenix Suns,0.0,0.6153846153846154,1,0.6,1,0.7,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,M.Williams,Y
32,C.Martin o11.5 Pts+Rebs+Ast,Rotowire Sleeper_duplicate,Charlotte Hornets,Phoenix Suns,0.0,0.7575757575757576,1,0.8,1,0.8,1,100.0,1.5,3.0,1.5,C.Martin,N
33,B.Miller o25.5 Pts+Rebs+Ast,Rotowire Sleeper,Charlotte Hornets,Phoenix Suns,0.0,0.72,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,B.Miller,Y
