,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,N.Powell o23.5 Pts,JoeDellera,Los Angeles Clippers,San Antonio Spurs,0.0,0.6,1,1.0,1,0.8,1,-110,1.0,1.9090909090909087,0.9090909090909092,N.Powell,N
1,V.Wembanyama u11.5 Rebs,kylemurray03,San Antonio Spurs,Los Angeles Clippers,1.0,0.6666666666666666,1,0.8,1,0.7,1,-109,1.09,2.0900000000000003,1.0000000000000002,V.Wembanyama,Y
2,N.Powell o28.5 Pts+Rebs+Ast,kylemurray03,Los Angeles Clippers,San Antonio Spurs,0.0,0.56,1,1.0,1,0.8,1,-120,1.2,2.2,1.0000000000000002,N.Powell,N
3,I.Hartenstein o22.5 Pts+Rebs,therocketplays,Oklahoma City Thunder,Minnesota Timberwolves,1.0,0.8125,1,0.8,1,0.8,1,-115,1.15,2.1499999999999995,0.9999999999999996,I.Hartenstein,Y
4,L.Kennard o11.5 Pts,therocketplays,Memphis Grizzlies,Phoenix Suns,0.0,0.2857142857142857,0,0.4,0,0.4,0,-110,1.1,2.1,1.0,L.Kennard,Y
5,K.Middleton o17.5 Pts+Ast,JoeDellera,Milwaukee Bucks,Indiana Pacers,0.0,0.4444444444444444,0,0.8,1,0.4444444444444444,0,-115,1.0,1.869565217391304,0.8695652173913042,K.Middleton,Y
6,G.Dick o15.5 Pts,kylemurray03,Toronto Raptors,Boston Celtics,0.0,0.5185185185185185,1,0.4,0,0.5,0,-108,1.08,2.08,1.0,G.Dick,X
7,I.Zubac o29.5 Pts+Rebs+Ast,Rotowire Sleeper,Los Angeles Clippers,San Antonio Spurs,0.0,0.65625,1,1.0,1,0.8,1,100,1.5,3.0,1.5,I.Zubac,N
8,C.Paul o8.5 Pts,RoyalsProps,San Antonio Spurs,Los Angeles Clippers,1.0,0.625,1,0.4,0,0.4,0,-120,1.2,2.2,1.0000000000000002,C.Paul,N
9,B.Beal u29.5 Pts+Rebs+Ast,Markus_Markets,Phoenix Suns,Memphis Grizzlies,1.0,0.7142857142857143,1,0.4,0,0.6,1,-120,1.0,1.8333333333333333,0.8333333333333335,B.Beal,Y
10,B.Mathurin o5.5 Rebs,RoyalsProps,Indiana Pacers,Milwaukee Bucks,1.0,0.6060606060606061,1,0.6,1,0.6,1,-120,1.2,2.2,1.0000000000000002,B.Mathurin,Y
11,E.Mobley o27.5 Pts+Rebs+Ast,Rotowire Prizepicks,Cleveland Cavaliers,Los Angeles Lakers,0.0,0.6333333333333333,1,0.6,1,0.7,1,100,1.5,3.0,1.5,E.Mobley,N
12,A.Davis u30.5 Pts+Ast,Rotowire Prizepicks,Los Angeles Lakers,Cleveland Cavaliers,1.0,0.4666666666666667,0,0.8,1,0.6,1,100,1.5,3.0,1.5,A.Davis,N
13,G.Antetokounmpo o43.5 Pts+Rebs,the_degenerates,Milwaukee Bucks,Indiana Pacers,0.0,0.5416666666666666,1,0.8,1,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996,G.Antetokounmpo,N
14,S.Gilgeous-Alexander o30.5 Pts,the_degenerates,Oklahoma City Thunder,Minnesota Timberwolves,1.0,0.4838709677419355,0,0.6,1,0.7,1,-110,1.1,2.1,1.0,S.Gilgeous-Alexander,Y
15,P.Pritchard o17.5 Pts,Markus_Markets,Boston Celtics,Toronto Raptors,1.0,0.5,0,0.4,0,0.4,0,200,0.33,0.99,0.6599999999999999,P.Pritchard,Y
16,M.Christie o8.5 Pts,therocketplays,Los Angeles Lakers,Cleveland Cavaliers,1.0,0.3333333333333333,0,0.6,1,0.6,1,100,1.0,2.0,1.0,M.Christie,N
17,T.Haliburton o17.5 Pts,TopShelfAction,Indiana Pacers,Milwaukee Bucks,1.0,0.4848484848484848,0,0.4,0,0.5,0,-110,0.8,1.5272727272727271,0.7272727272727273,T.Haliburton,N
18,P.Siakam o28.5 Pts+Rebs+Ast,TopShelfAction,Indiana Pacers,Milwaukee Bucks,1.0,0.5757575757575758,1,0.6,1,0.7,1,-105,0.6,1.1714285714285713,0.5714285714285713,P.Siakam,Y
19,D.Lillard o36.5 Pts+Rebs+Ast,TopShelfAction,Milwaukee Bucks,Indiana Pacers,0.0,0.6086956521739131,1,0.8,1,0.7,1,-120,0.6,1.1,0.5000000000000001,D.Lillard,N
20,D.Lillard o26.5 Pts+Rebs,Rotowire Sleeper,Milwaukee Bucks,Indiana Pacers,0.0,0.6956521739130435,1,0.8,1,0.9,1,100,1.5,3.0,1.5,D.Lillard,N
21,B.Lopez o15.5 Pts+Rebs,Rotowire Prizepicks,Milwaukee Bucks,Indiana Pacers,0.0,0.5333333333333333,1,0.8,1,0.5,0,100,1.5,3.0,1.5,B.Lopez,Y
22,D.Lillard u25.5 Pts,Rotowire Prizepicks,Milwaukee Bucks,Indiana Pacers,0.0,0.4782608695652174,0,0.4,0,0.4,0,100,1.5,3.0,1.5,D.Lillard,Y
23,G.Antetokounmpo o35.5 Pts+Ast,KyleJustBets,Milwaukee Bucks,Indiana Pacers,0.0,0.6666666666666666,1,0.8,1,0.9,1,-115,1.0,1.869565217391304,0.8695652173913042,G.Antetokounmpo,N
24,M.Turner o20.5 Pts+Rebs,Rotowire Prizepicks,Indiana Pacers,Milwaukee Bucks,1.0,0.4838709677419355,0,0.6,1,0.5,0,100,1.5,3.0,1.5,M.Turner,Y
25,O.Agbaji o9.5 Pts,therocketplays,Toronto Raptors,Boston Celtics,0.0,0.59375,1,0.6,1,0.5,0,-114,1.14,2.14,0.9999999999999998,O.Agbaji,N
26,V.Wembanyama u41.5 Pts+Rebs+Ast,TopShelfAction,San Antonio Spurs,Los Angeles Clippers,1.0,0.6666666666666666,1,0.6,1,0.6,1,-122,0.6,1.0918032786885246,0.4918032786885246,V.Wembanyama,Y
27,V.Wembanyama u25.5 Pts,TopShelfAction,San Antonio Spurs,Los Angeles Clippers,1.0,0.5555555555555556,1,0.2,0,0.4,0,-103,0.6,1.1825242718446602,0.5825242718446603,V.Wembanyama,N
28,D.Vassell u3.5 Ast,TopShelfAction,San Antonio Spurs,Los Angeles Clippers,1.0,0.5882352941176471,1,0.4,0,0.5,0,104,1.4,2.856,1.456,D.Vassell,Y
29,K.Porter u10.5 Pts,TopShelfAction,Los Angeles Clippers,San Antonio Spurs,0.0,0.5357142857142857,1,0.4,0,0.4,0,-125,1.7,3.06,1.36,K.Porter,Y
30,E.Mobley o27.5 Pts+Rebs+Ast,TopShelfAction,Cleveland Cavaliers,Los Angeles Lakers,0.0,0.6333333333333333,1,0.6,1,0.7,1,-120,0.6,1.1,0.5000000000000001,E.Mobley,N
31,E.Mobley o10.5 Rebs+Ast,Rotowire Sleeper,Cleveland Cavaliers,Los Angeles Lakers,0.0,0.6666666666666666,1,0.8,1,0.7,1,100,1.5,3.0,1.5,E.Mobley,N
32,D.Jones o10.5 Pts+Rebs,PvB_Bets_duplicate,Los Angeles Clippers,San Antonio Spurs,0.0,0.6333333333333333,1,0.6,1,0.5,0,-130,1.0,1.7692307692307692,0.7692307692307692,D.Jones,N
33,H.Barnes u9.5 Pts,PropBomb,San Antonio Spurs,Los Angeles Clippers,1.0,0.5,0,0.8,1,0.6,1,-130,1.3,2.3,0.9999999999999998,H.Barnes,N
34,E.Mobley o28.5 Pts+Rebs+Ast,Rotowire Prizepicks,Cleveland Cavaliers,Los Angeles Lakers,0.0,0.5666666666666667,1,0.6,1,0.6,1,100,1.5,3.0,1.5,E.Mobley,N
