,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,K.Towns o23.5 Pts,LinesAtLunch,New York Knicks,Houston Rockets,1.0,0.5227272727272727,1,0.4,0,0.5,0,-112,1.12,2.12,1.0,K.Towns,N
1,K.Towns o23.5 Pts,sandyplashkes,New York Knicks,Houston Rockets,1.0,0.5227272727272727,1,0.4,0,0.5,0,-112,1.12,2.12,1.0,K.Towns,N
2,A.Thompson o8.5 Rebs,therocketplays_duplicate,Houston Rockets,New York Knicks,0.0,0.4,0,0.6,1,0.7,1,-125,1.25,2.25,1.0,A.Thompson,N
3,D.Sabonis o19.5 Pts,Markus_Markets,Sacramento Kings,Minnesota Timberwolves,0.0,0.5777777777777777,1,0.6,1,0.7,1,-113,1.0,1.8849557522123888,0.8849557522123894,D.Sabonis,N
4,C.McCollum o20.5 Pts,LinesAtLunch,New Orleans Pelicans,Denver Nuggets,0.0,0.5555555555555556,1,0.6,1,0.5,0,-108,1.08,2.08,1.0,C.McCollum,Y
5,C.McCollum o20.5 Pts,sandyplashkes,New Orleans Pelicans,Denver Nuggets,0.0,0.5555555555555556,1,0.6,1,0.5,0,-108,1.08,2.08,1.0,C.McCollum,Y
6,Z.Williamson o33.5 Pts+Rebs+Ast,FirefighterBets,New Orleans Pelicans,Denver Nuggets,0.0,0.6923076923076923,1,1.0,1,0.7,1,-115,1.0,1.869565217391304,0.8695652173913042,Z.Williamson,N
7,M.Moody u8.5 Pts,LinesAtLunch,Golden State Warriors,Orlando Magic,1.0,0.4634146341463415,0,0.2,0,0.2,0,-113,1.13,2.13,1.0,M.Moody,N
8,M.Moody u8.5 Pts,rsura_,Golden State Warriors,Orlando Magic,1.0,0.4634146341463415,0,0.2,0,0.2,0,-113,1.13,2.13,1.0,M.Moody,N
9,C.Cunningham o27.5 Pts,LinesAtLunch,Detroit Pistons,Atlanta Hawks,1.0,0.3555555555555555,0,0.6,1,0.6,1,-110,1.1,2.1,1.0,C.Cunningham,Y
10,Z.Risacher o16.5 Pts+Rebs+Ast,CamIsMoney18,Atlanta Hawks,Detroit Pistons,0.0,0.5,0,0.6,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335,Z.Risacher,Y
11,G.Antetokounmpo u30.5 Pts,sandyplashkes,Milwaukee Bucks,Oklahoma City Thunder,0.0,0.4146341463414634,0,0.2,0,0.3,0,-118,1.18,2.18,0.9999999999999998,G.Antetokounmpo,X
12,I.Collier o10.5 Rebs+Ast,CamIsMoney18,Utah Jazz,Indiana Pacers,1.0,0.3333333333333333,0,0.4,0,0.6,1,-130,1.0,1.7692307692307692,0.7692307692307692,I.Collier,Y
13,I.Collier o6.5 Ast,ThePropfessor_,Utah Jazz,Indiana Pacers,1.0,0.358974358974359,0,0.8,1,0.8,1,-130,1.3,2.3,0.9999999999999998,I.Collier,Y
14,T.Camara o16.5 Pts+Rebs,GDAWG5000,Portland Trail Blazers,Phoenix Suns,1.0,0.4680851063829787,0,0.8,1,0.7,1,100,0.5,1.0,0.5,T.Camara,Y
15,T.Camara o16.5 Pts+Rebs,TheBMatt,Portland Trail Blazers,Phoenix Suns,1.0,0.4680851063829787,0,0.8,1,0.7,1,100,0.75,1.5,0.75,T.Camara,Y
16,T.Camara o15.5 Pts+Rebs,Rotowire Sleeper,Portland Trail Blazers,Phoenix Suns,1.0,0.5106382978723404,1,0.8,1,0.7,1,100,1.5,3.0,1.5,T.Camara,Y
17,D.Sabonis o33.5 Pts+Rebs,Rotowire Sleeper,Sacramento Kings,Minnesota Timberwolves,0.0,0.6,1,0.6,1,0.7,1,100,1.5,3.0,1.5,D.Sabonis,N
18,G.Antetokounmpo u30.5 Pts,LinesAtLunch,Milwaukee Bucks,Oklahoma City Thunder,0.0,0.4146341463414634,0,0.2,0,0.3,0,-118,1.18,2.18,0.9999999999999998,G.Antetokounmpo,X
19,K.Murray o11.5 Pts,Rotowire Prizepicks_duplicate,Sacramento Kings,Minnesota Timberwolves,0.0,0.5111111111111111,1,0.6,1,0.6,1,100,1.5,3.0,1.5,K.Murray,Y
20,C.Paul o21.5 Pts+Rebs+Ast,Rotowire Sleeper,San Antonio Spurs,Memphis Grizzlies,0.0,0.5217391304347826,1,0.4,0,0.5,0,100,1.5,3.0,1.5,C.Paul,N
21,D.Daniels o9.5 Rebs+Ast,FirefighterBets,Atlanta Hawks,Detroit Pistons,0.0,0.4318181818181818,0,0.8,1,0.6,1,-125,1.0,1.8,0.8,D.Daniels,Y
22,Z.Risacher o16.5 Pts+Rebs+Ast,FirefighterBets,Atlanta Hawks,Detroit Pistons,0.0,0.5,0,0.6,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335,Z.Risacher,Y
23,M.Conley o1.5 3pt M,MJCLocks,Minnesota Timberwolves,Sacramento Kings,1.0,0.5227272727272727,1,0.8,1,0.6,1,-125,1.0,1.8,0.8,M.Conley,N
24,T.Camara o5.5 Rebs,Rotowire Sleeper,Portland Trail Blazers,Phoenix Suns,1.0,0.4893617021276595,0,0.8,1,0.6,1,100,1.5,3.0,1.5,T.Camara,N
25,T.Camara o12.5 Pts+Ast,Rotowire Prizepicks,Portland Trail Blazers,Phoenix Suns,1.0,0.4893617021276595,0,0.4,0,0.5,0,100,1.5,3.0,1.5,T.Camara,Y
