,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,J.Holiday o9.5 Pts,rsura_,Boston Celtics,Cleveland Cavaliers,0.0,0.5348837209302325,1,0.2,0,0.3,0,-113,1.13,2.13,1.0,J.Holiday,N
1,D.Mitchell o28.5 Pts+Rebs,JoeDellera_duplicate,Cleveland Cavaliers,Boston Celtics,1.0,0.425531914893617,0,0.4,0,0.5,0,-115,1.0,1.869565217391304,0.8695652173913042,D.Mitchell,Y
2,J.Tatum o25.5 Pts,LinesAtLunch,Boston Celtics,Cleveland Cavaliers,0.0,0.5531914893617021,1,0.4,0,0.3,0,-120,1.2,2.2,1.0000000000000002,J.Tatum,N
3,D.Mitchell o24.5 Pts,GDAWG5000_duplicate,Cleveland Cavaliers,Boston Celtics,1.0,0.425531914893617,0,0.4,0,0.5,0,-110,0.55,1.05,0.5,D.Mitchell,Y
4,D.Mitchell o24.5 Pts,CamIsMoney18_duplicate,Cleveland Cavaliers,Boston Celtics,1.0,0.425531914893617,0,0.4,0,0.5,0,-118,1.0,1.847457627118644,0.847457627118644,D.Mitchell,Y
5,D.Mitchell o24.5 Pts,TheBMatt_duplicate,Cleveland Cavaliers,Boston Celtics,1.0,0.425531914893617,0,0.4,0,0.5,0,-110,1.1,2.1,1.0,D.Mitchell,Y
6,K.Ware o12.5 Pts,JoeDellera,Miami Heat,Chicago Bulls,0.0,0.1875,0,0.4,0,0.5,0,-120,1.0,1.8333333333333333,0.8333333333333335,K.Ware,Y
7,N.Vucevic u19.5 Pts,LinesAtLunch,Chicago Bulls,Miami Heat,1.0,0.5102040816326531,1,0.2,0,0.5,0,-118,1.18,2.18,0.9999999999999998,N.Vucevic,Y
8,N.Vucevic u19.5 Pts,sandyplashkes,Chicago Bulls,Miami Heat,1.0,0.5102040816326531,1,0.2,0,0.5,0,-118,1.18,2.18,0.9999999999999998,N.Vucevic,Y
9,J.Jaquez o15.5 Pts+Rebs+Ast,CamIsMoney18,Miami Heat,Chicago Bulls,0.0,0.5714285714285714,1,0.6,1,0.7,1,-130,1.0,1.7692307692307692,0.7692307692307692,J.Jaquez,Y
10,T.Herro o36.5 Pts+Rebs+Ast,RoyalsProps,Miami Heat,Chicago Bulls,0.0,0.391304347826087,0,0.2,0,0.4,0,-115,1.15,2.1499999999999995,0.9999999999999996,T.Herro,Y
11,I.Quickley o17.5 Pts+Ast,FirefighterBets,Toronto Raptors,New York Knicks,1.0,0.4545454545454545,0,0.4,0,0.5,0,-120,1.0,1.8333333333333333,0.8333333333333335,I.Quickley,N
12,K.Towns o23.5 Pts,JoeDellera,New York Knicks,Toronto Raptors,0.0,0.5111111111111111,1,0.2,0,0.4,0,-110,1.0,1.9090909090909087,0.9090909090909092,K.Towns,Y
13,J.Brunson u26.5 Pts,LinesAtLunch,New York Knicks,Toronto Raptors,0.0,0.6122448979591837,1,0.6,1,0.5,0,-105,1.05,2.05,0.9999999999999998,J.Brunson,N
14,K.Towns o23.5 Pts,LinesAtLunch,New York Knicks,Toronto Raptors,0.0,0.5111111111111111,1,0.2,0,0.4,0,-112,1.12,2.12,1.0,K.Towns,Y
15,K.Towns o23.5 Pts,sandyplashkes,New York Knicks,Toronto Raptors,0.0,0.5111111111111111,1,0.2,0,0.4,0,-112,1.12,2.12,1.0,K.Towns,Y
16,K.Irving o2.5 3pt M,FirefighterBets,Dallas Mavericks,Philadelphia 76ers,0.0,0.6153846153846154,1,0.6,1,0.6,1,-125,1.0,1.8,0.8,K.Irving,N
17,I.Zubac o28.5 Pts+Rebs+Ast,CamIsMoney18,Los Angeles Clippers,Los Angeles Lakers,1.0,0.6170212765957447,1,0.4,0,0.4,0,-125,1.0,1.8,0.8,I.Zubac,N
18,N.Powell o20.5 Pts,therocketplays,Los Angeles Clippers,Los Angeles Lakers,1.0,0.725,1,1.0,1,0.9,1,-125,1.25,2.25,1.0,N.Powell,N
19,S.Henderson o20.5 Pts+Rebs+Ast,CamIsMoney18,Portland Trail Blazers,Indiana Pacers,1.0,0.4883720930232558,0,0.8,1,0.7,1,-118,1.0,1.847457627118644,0.847457627118644,S.Henderson,Y
20,J.Brown o31.5 Pts+Rebs+Ast,Rotowire Sleeper,Boston Celtics,Cleveland Cavaliers,0.0,0.6046511627906976,1,1.0,1,0.8,1,100,1.5,3.0,1.5,J.Brown,N
21,J.Green o30.5 Pts+Rebs+Ast,Rotowire Sleeper_duplicate,Houston Rockets,Brooklyn Nets,0.0,0.3968253968253968,0,0.8,1,0.6,1,100,1.5,3.0,1.5,J.Green,N
22,N.Marshall o9.5 Pts,TheBMatt,Dallas Mavericks,Philadelphia 76ers,0.0,0.4864864864864865,0,0.4,0,0.5,0,100,1.0,2.0,1.0,N.Marshall,Y
23,K.Towns o23.5 Pts,GDAWG5000,New York Knicks,Toronto Raptors,0.0,0.5111111111111111,1,0.2,0,0.4,0,-120,0.6,1.1,0.5000000000000001,K.Towns,Y
24,J.Brown o26.5 Pts+Rebs,Rotowire Sleeper,Boston Celtics,Cleveland Cavaliers,0.0,0.6046511627906976,1,1.0,1,0.7,1,100,1.5,3.0,1.5,J.Brown,N
25,J.Brown o25.5 Pts+Ast,Rotowire Sleeper,Boston Celtics,Cleveland Cavaliers,0.0,0.6511627906976745,1,1.0,1,0.8,1,100,1.5,3.0,1.5,J.Brown,N
26,N.Marshall o9.5 Pts,therocketplays,Dallas Mavericks,Philadelphia 76ers,0.0,0.4864864864864865,0,0.4,0,0.5,0,-115,1.15,2.1499999999999995,0.9999999999999996,N.Marshall,Y
27,N.Powell o21.5 Pts,FirefighterBets,Los Angeles Clippers,Los Angeles Lakers,1.0,0.725,1,1.0,1,0.9,1,-120,1.0,1.8333333333333333,0.8333333333333335,N.Powell,N
28,S.Barnes u28.5 Pts+Ast,Rotowire Prizepicks,Toronto Raptors,New York Knicks,1.0,0.6111111111111112,1,0.6,1,0.7,1,100,1.5,3.0,1.5,S.Barnes,Y
29,N.Powell o25.5 Pts+Rebs,Rotowire Sleeper,Los Angeles Clippers,Los Angeles Lakers,1.0,0.625,1,0.8,1,0.8,1,100,1.5,3.0,1.5,N.Powell,N
30,E.Mobley o2.5 Ast,MJCLocks,Cleveland Cavaliers,Boston Celtics,1.0,0.5581395348837209,1,0.6,1,0.5,0,100,1.0,2.0,1.0,E.Mobley,N
31,E.Mobley o3.5 Ast,MJCLocks,Cleveland Cavaliers,Boston Celtics,1.0,0.3720930232558139,0,0.2,0,0.3,0,240,0.2,0.68,0.48,E.Mobley,N
32,E.Mobley o27.5 Pts+Rebs+Ast,Rotowire Prizepicks,Cleveland Cavaliers,Boston Celtics,1.0,0.6511627906976745,1,0.8,1,0.8,1,100,1.5,3.0,1.5,E.Mobley,N
33,K.Leonard o7.5 Rebs+Ast,FirefighterBets,Los Angeles Clippers,Los Angeles Lakers,1.0,0.3636363636363636,0,0.6,1,0.4,0,-130,1.0,1.7692307692307692,0.7692307692307692,K.Leonard,Y
34,T.Camara o16.5 Pts+Rebs,Rotowire Prizepicks,Portland Trail Blazers,Indiana Pacers,1.0,0.4791666666666667,0,0.8,1,0.7,1,100,1.5,3.0,1.5,T.Camara,Y
35,D.Robinson o12.5 Pts,ThePropfessor_,Miami Heat,Chicago Bulls,0.0,0.4,0,0.6,1,0.5,0,-120,1.2,2.2,1.0000000000000002,D.Robinson,N
36,E.Mobley o11.5 Rebs+Ast,FirefighterBets,Cleveland Cavaliers,Boston Celtics,1.0,0.6046511627906976,1,0.8,1,0.8,1,-120,1.0,1.8333333333333333,0.8333333333333335,E.Mobley,N
37,M.Turner o1.5 3pt M,PvB_Bets,Indiana Pacers,Portland Trail Blazers,0.0,0.6136363636363636,1,1.0,1,0.8,1,-152,1.0,1.6578947368421053,0.6578947368421053,M.Turner,Y
38,I.Zubac o14.5 Pts,GDAWG5000,Los Angeles Clippers,Los Angeles Lakers,1.0,0.5531914893617021,1,0.6,1,0.5,0,100,0.5,1.0,0.5,I.Zubac,N
39,I.Zubac o14.5 Pts,JoeDellera,Los Angeles Clippers,Los Angeles Lakers,1.0,0.5531914893617021,1,0.6,1,0.5,0,100,1.0,2.0,1.0,I.Zubac,N
40,D.White o21.5 Pts+Rebs+Ast,Rotowire Prizepicks,Boston Celtics,Cleveland Cavaliers,0.0,0.723404255319149,1,0.8,1,0.6,1,100,1.5,3.0,1.5,D.White,Y
41,M.McBride o12.5 Pts+Ast,MJCLocks,New York Knicks,Toronto Raptors,0.0,0.45,0,0.6,1,0.4,0,100,1.0,2.0,1.0,M.McBride,N
42,J.Allen o21.5 Pts+Rebs,Rotowire Sleeper,Cleveland Cavaliers,Boston Celtics,1.0,0.5714285714285714,1,0.8,1,0.6,1,100,1.5,3.0,1.5,J.Allen,Y
43,J.Jaquez o8.5 Pts,FirefighterBets,Miami Heat,Chicago Bulls,0.0,0.5714285714285714,1,0.4,0,0.7,1,-130,1.0,1.7692307692307692,0.7692307692307692,J.Jaquez,Y
44,D.Brooks o1.5 Ast,Markus_Markets,Houston Rockets,Brooklyn Nets,0.0,0.4565217391304347,0,0.2,0,0.3,0,115,1.0,2.15,1.15,D.Brooks,N
45,N.Powell o21.5 Pts,the_degenerates,Los Angeles Clippers,Los Angeles Lakers,1.0,0.725,1,1.0,1,0.9,1,-120,1.2,2.2,1.0000000000000002,N.Powell,N
46,A.Sengun o32.5 Pts+Rebs+Ast,Rotowire Sleeper,Houston Rockets,Brooklyn Nets,0.0,0.5434782608695652,1,0.4,0,0.6,1,100,1.5,3.0,1.5,A.Sengun,Y
47,S.Barnes u22.5 Pts,TopShelfAction,Toronto Raptors,New York Knicks,1.0,0.6388888888888888,1,0.6,1,0.6,1,-120,1.6,2.9333333333333336,1.3333333333333337,S.Barnes,N
48,K.Oubre o24.5 Pts+Rebs+Ast,Rotowire Prizepicks,Philadelphia 76ers,Dallas Mavericks,1.0,0.3333333333333333,0,0.8,1,0.8,1,100,1.5,3.0,1.5,K.Oubre,N
49,E.Mobley o2.5 Ast,TopShelfAction,Cleveland Cavaliers,Boston Celtics,1.0,0.5581395348837209,1,0.6,1,0.5,0,-108,1.0,1.925925925925926,0.925925925925926,E.Mobley,N
50,G.Niang u3.5 Rebs,TopShelfAction,Cleveland Cavaliers,Boston Celtics,1.0,0.5102040816326531,1,0.6,1,0.5,0,-120,0.9,1.65,0.7500000000000001,G.Niang,Y
51,K.Towns o1.5 3pt M,TopShelfAction,New York Knicks,Toronto Raptors,0.0,0.6,1,0.2,0,0.3,0,-105,0.8,1.561904761904762,0.7619047619047619,K.Towns,Y
52,J.Hart u9.5 Rebs,TopShelfAction,New York Knicks,Toronto Raptors,0.0,0.4897959183673469,0,0.4,0,0.4,0,102,0.9,1.818,0.918,J.Hart,Y
