,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,9.0,9,J.Valanciunas o7.5 Rebs,New Orleans Pelicans,SBK5065,-110,0.55,1.05,0.0,J.Valanciunas,Houston Rockets,0,0.5,0.6666666666666666,1.0,0.4,0.0,0.6,1.0
5,14.0,14,J.Smith o7.5 Rebs,Houston Rockets,JoeDellera,-120,1.0,1.8333333333333333,0.0,J.Smith,New Orleans Pelicans,1,0.8333333333333335,0.4696969696969697,0.0,0.8,1.0,0.5,0.0
9,,9,J.Valanciunas o7.5 Rebs,New Orleans Pelicans,SBK5065,-110,0.55,1.05,0.0,J.Valanciunas,Houston Rockets,0,0.5,,,,,,
14,,14,J.Smith o7.5 Rebs,Houston Rockets,JoeDellera,-120,1.0,1.8333333333333333,0.0,J.Smith,New Orleans Pelicans,1,0.8333333333333335,,,,,,
