,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,name
0,0,0,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-120,1.2,2.2,14.2148,Toronto Raptors,1,1.0000000000000002,G.Allen
1,2,2,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-120,0.4,0.7333333333333334,0.0,Toronto Raptors,1,0.3333333333333333,G.Allen
2,4,4,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-125,0.63,1.134,0.0,Toronto Raptors,1,0.5040000000000001,G.Allen
3,10,10,S.Curry o15.5 Pts+Ast,Brooklyn Nets,SBK5065,100,0.5,1.0,-1.5508000000000013,San Antonio Spurs,0,0.5,S.Curry
