,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,name,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,0,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-120,1.2,2.2,14.2148,Toronto Raptors,1,1.0000000000000002,G.Allen,,,,,,
2,2,2,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-120,0.4,0.7333333333333334,0.0,Toronto Raptors,1,0.3333333333333333,G.Allen,,,,,,
4,4,4,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-125,0.63,1.134,0.0,Toronto Raptors,1,0.5040000000000001,G.Allen,,,,,,
0,0,0,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-120,1.2,2.2,14.2148,Toronto Raptors,1,1.0000000000000002,,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
2,2,2,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-120,0.4,0.7333333333333334,0.0,Toronto Raptors,1,0.3333333333333333,,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
4,4,4,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-125,0.63,1.134,0.0,Toronto Raptors,1,0.5040000000000001,,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
