,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,3.0,3,3,R.Williams u6.5 Rebs,PropBomb,-140,1.0,1.7142857142857144,0,Boston Celtics,R.Williams,Miami Heat,0,0.7142857142857144,0.3529411764705882,0.0,0.4,0.0,0.3,0.0
6,8.0,8,8,J.Tatum o10.5 Rebs,VegasRefund,110,1.1,2.3100000000000005,0,Boston Celtics,J.Tatum,Miami Heat,0,1.2100000000000004,0.3888888888888889,0.0,0.4,0.0,0.5,0.0
3,,3,3,J.Brown o5.5 Rebs,VegasRefund,-140,1.4,2.4,0,Boston Celtics,J.Brown,Miami Heat,1,1.0,,,,,,
