,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,Unnamed: 0.1,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
16,16,J.Murray o2.5 3pt M,Denver Nuggets,JoeDellera,-145,1.0,1.6896551724137931,0.0,J.Murray,Toronto Raptors,1,0.6896551724137931,,,,,,,
0,0,D.Melton o1.5 3pt M,Philadelphia 76ers,SBK5065,-115,0.58,1.0843478260869563,10.3466,D.Melton,Indiana Pacers,0,0.5043478260869564,0.0,0.6333333333333333,1.0,0.6,1.0,0.4,0.0
1,1,D.Melton o1.5 3pt M,Philadelphia 76ers,JoeDellera,-115,0.5,0.934782608695652,2.2154000000000007,D.Melton,Indiana Pacers,0,0.4347826086956521,1.0,0.6333333333333333,1.0,0.6,1.0,0.4,0.0
5,12,J.Butler o0.5 3pt M,Miami Heat,GDAWG5000,145,0.5,1.225,1.6727,J.Butler,Atlanta Hawks,1,0.7250000000000001,12.0,0.4,0.0,0.6,1.0,0.5,0.0
6,13,J.Butler o0.5 3pt M,Miami Heat,GreenDotDaily,145,1.0,2.45,3.4569,J.Butler,Atlanta Hawks,1,1.4500000000000002,13.0,0.4,0.0,0.6,1.0,0.5,0.0
8,15,J.Murray o3.5 3pt M,Denver Nuggets,JoeDellera,145,0.25,0.6125,0.0,J.Murray,Toronto Raptors,1,0.3625,15.0,0.24,0.0,0.6,1.0,0.5,0.0
9,16,J.Murray o2.5 3pt M,Denver Nuggets,JoeDellera,-145,1.0,1.6896551724137931,0.0,J.Murray,Toronto Raptors,1,0.6896551724137931,16.0,0.48,0.0,0.8,1.0,0.8,1.0
