,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,12.0,12,12,L.Doncic o2.5 3pt M,JoeDellera,-150,0.75,1.25,0,Dallas Mavericks,L.Doncic,Atlanta Hawks,1.0,0.5,0.525,1.0,0.6,1.0,0.5,0.0
8,14.0,14,14,T.Murphy o2.5 3pt M,JoeDellera,160,0.4,1.04,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,0.64,0.4523809523809524,0.0,0.6,1.0,0.3,0.0
10,17.0,17,17,T.Murphy o2.5 3pt M,SBK5065,160,0.5,1.3,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,0.8,0.4523809523809524,0.0,0.6,1.0,0.3,0.0
12,19.0,19,19,T.Murphy o2.5 3pt M,PropBomb,155,1.0,2.55,0,New Orleans Pelicans,T.Murphy,Miami Heat,1.0,1.5499999999999998,0.4523809523809524,0.0,0.6,1.0,0.3,0.0
12,,12,12,L.Doncic o2.5 3pt M,JoeDellera,-150,0.75,1.25,0,Dallas Mavericks,L.Doncic,Atlanta Hawks,1.0,0.5,,,,,,
