,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,1,2,S.Dinwiddie o8.5 Ast,SBK5065,-120,0.6,1.1,0,Brooklyn Nets,S.Dinwiddie,Sacramento Kings,1.0,0.5000000000000001
1,2,3,S.Dinwiddie o8.5 Ast,JoeDellera,-119,0.75,1.380252100840336,0,Brooklyn Nets,S.Dinwiddie,Sacramento Kings,1.0,0.6302521008403359
2,3,4,S.Dinwiddie o8.5 Ast,PropBomb,-119,1.19,2.19,0,Brooklyn Nets,S.Dinwiddie,Sacramento Kings,1.0,1.0
