Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
S.Henderson o14.5 Pts,TopShelfAction,Portland Trail Blazers,New Orleans Pelicans,1.0,1.0,1,1.0,1,1.0,1,140,0.5,1.2,0.7
J.Hawkins o10.5 Pts,PropBetGuy,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-125,1.0,1.8,0.8
D.Jones o8.5 Pts,TopShelfAction,Los Angeles Clippers,Golden State Warriors,0.0,1.0,1,1.0,1,1.0,1,100,0.5,1.0,0.5
C.Thomas o25.5 Pts,JoeDellera,Brooklyn Nets,Milwaukee Bucks,1.0,0.5,0,0.5,0,0.5,0,-110,0.91,1.7372727272727273,0.8272727272727273
S.Gilgeous-Alexander o29.5 Pts,itsbucketsnba,Oklahoma City Thunder,Atlanta Hawks,1.0,0.0,0,0.0,0,0.0,0,-112,0.89,1.684642857142857,0.7946428571428571
M.Turner o15.5 Pts,JoeDellera,Indiana Pacers,Philadelphia 76ers,1.0,0.5,0,0.5,0,0.5,0,-113,1.0,1.8849557522123888,0.8849557522123894
