Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
S.Henderson o4.5 Ast,TopShelfAction,Portland Trail Blazers,New Orleans Pelicans,1.0,0.5,0,0.5,0,0.5,0,-120,0.75,1.375,0.625
J.Harden o9.5 Ast,kylemurray03,Los Angeles Clippers,Golden State Warriors,0.0,0.5,0,0.5,0,0.5,0,-122,1.0,1.819672131147541,0.819672131147541
