,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,3.0,3.0,7.0,7,7,7,K.Irving o32.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,-3.8426,Brooklyn Nets,K.Irving,Detroit Pistons,0,0.5000000000000001,0.6875,1.0,0.4,0.0,0.7,1.0
7,,,,7,7,7,K.Irving o32.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,-3.8426,Brooklyn Nets,K.Irving,Detroit Pistons,0,0.5000000000000001,,,,,,
9,,,,9,9,9,D.DiVincenzo o23.5 Pts+Rebs+Ast,PropBetGuy,-120,1.2,2.2,-17.04,Golden State Warriors,D.DiVincenzo,Toronto Raptors,0,1.0000000000000002,,,,,,
