,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Unnamed: 0.1,name
0,0,T.McConnell o3.5 Rebs,Indiana Pacers,SBK5065,105,0.53,1.0865,0,Milwaukee Bucks,0,0.5565,,,,,,,0.0,T.McConnell
3,3,T.McConnell o3.5 Rebs,Indiana Pacers,JoeDellera,105,0.79,1.6195,0,Milwaukee Bucks,0,0.8294999999999999,,,,,,,3.0,T.McConnell
