,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Mikal Bridges,Brooklyn Nets,Boston Celtics,0,27.41,12,1,5,0,0,1,.487,.409,.545,0.0,16.1,8.8,5.6,0.0,0.0,24.1,88,129,-9.5
1,Dorian Finney-Smith,Brooklyn Nets,Boston Celtics,0,27.29,9,2,3,0,1,3,.750,.750,.833,7.9,3.2,5.3,10.7,0.0,4.2,10.2,160,133,3.6
2,Royce O'Neale,Brooklyn Nets,Boston Celtics,0,26.50,3,4,3,0,0,1,.500,.500,1.000,0.0,9.9,5.5,19.8,0.0,0.0,7.0,109,132,-3.6
3,Cameron Johnson,Brooklyn Nets,Boston Celtics,0,25.21,11,0,5,0,0,3,.423,.423,.462,8.6,10.5,9.7,0.0,0.0,0.0,25.8,86,131,-9.8
4,Spencer Dinwiddie,Brooklyn Nets,Boston Celtics,0,19.56,12,4,4,0,0,3,.685,.643,.857,0.0,17.8,9.8,31.3,0.0,0.0,25.2,121,128,3.2
5,Trendon Watford,Brooklyn Nets,Boston Celtics,0,27.12,14,3,7,0,1,0,.589,.545,.091,12.0,13.1,12.6,19.3,0.0,4.2,20.4,138,128,3.2
6,Dennis Smith Jr.,Brooklyn Nets,Boston Celtics,0,26.57,14,7,4,0,0,0,.595,.500,.100,4.0,9.9,7.3,42.9,0.0,0.0,20.4,147,132,3.7
7,Lonnie Walker IV,Brooklyn Nets,Boston Celtics,0,20.17,20,4,7,0,1,3,.804,.792,.333,0.0,30.7,16.9,49.6,0.0,5.6,28.6,161,119,25.7
8,Armoni Brooks,Brooklyn Nets,Boston Celtics,0,19.16,0,0,4,0,0,0,.000,.000,.600,5.7,13.8,10.2,0.0,0.0,0.0,14.5,15,130,-18.9
9,Day'Ron Sharpe,Brooklyn Nets,Boston Celtics,0,13.10,5,1,3,0,0,0,.434,.250,.250,0.0,20.3,11.2,10.6,0.0,0.0,27.5,74,126,-14.0
