,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,date
0,D.Murray,Atlanta Hawks,Chicago Bulls,0,45.37,30,6,7,2,0,3,.635,.595,.286,2.3,17.5,9.1,21.5,2.1,0.0,23.1,128,131,4000000017
1,T.Young,Atlanta Hawks,Chicago Bulls,0,42.43,22,10,2,0,0,3,.621,.458,.667,2.5,3.1,2.8,30.8,0.0,0.0,23.7,109,138,4000000017
2,D.Hunter,Atlanta Hawks,Chicago Bulls,0,42.10,8,4,2,0,0,0,.231,.188,.438,2.5,3.2,2.8,12.1,0.0,0.0,18.6,63,138,4000000017
3,C.Capela,Atlanta Hawks,Chicago Bulls,0,37.33,22,4,17,0,0,0,.733,.733,.000,11.4,46.2,26.8,19.0,0.0,0.0,17.1,156,130,4000000017
4,B.Bogdanovic,Atlanta Hawks,Chicago Bulls,0,36.35,21,4,5,2,2,3,.556,.528,.556,2.9,14.6,8.1,17.2,2.7,3.8,22.1,119,127,4000000017
5,G.Mathews,Atlanta Hawks,Chicago Bulls,0,12.53,8,0,0,0,0,2,.752,.750,1.000,0.0,0.0,0.0,0.0,0.0,0.0,21.0,113,138,4000000017
6,B.Fernando,Atlanta Hawks,Chicago Bulls,0,10.27,5,1,1,0,0,0,.727,.667,.000,0.0,12.8,5.7,14.4,0.0,0.0,14.1,151,136,4000000017
7,W.Matthews,Atlanta Hawks,Chicago Bulls,0,9.39,0,1,0,0,0,0,.000,.000,1.000,0.0,0.0,0.0,12.1,0.0,0.0,8.9,30,139,4000000017
8,M.Gueye,Atlanta Hawks,Chicago Bulls,0,2.23,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,139,4000000017
9,D.DeRozan,Chicago Bulls,Atlanta Hawks,1,44.24,22,9,6,1,1,1,.566,.553,.105,3.0,12.0,8.0,22.5,1.1,2.0,20.3,132,119,4000000017
10,C.White,Chicago Bulls,Atlanta Hawks,1,43.18,42,6,9,2,0,3,.827,.786,.333,3.1,19.7,12.3,17.8,2.2,0.0,25.9,178,116,4000000017
11,A.Dosunmu,Chicago Bulls,Atlanta Hawks,1,40.57,19,3,1,0,2,3,.792,.792,.333,3.3,0.0,1.4,7.9,0.0,4.3,15.1,140,122,4000000017
12,N.Vucevic,Chicago Bulls,Atlanta Hawks,1,36.45,24,2,12,0,0,1,.548,.548,.286,7.3,29.0,19.3,6.6,0.0,0.0,27.5,118,120,4000000017
13,A.Caruso,Chicago Bulls,Atlanta Hawks,1,17.25,6,2,2,1,0,2,1.000,1.000,1.000,0.0,12.2,6.8,11.4,2.8,0.0,7.6,204,117,4000000017
14,J.Green,Chicago Bulls,Atlanta Hawks,1,22.48,10,4,6,1,0,1,.635,.643,.286,5.8,23.4,15.6,18.5,2.1,0.0,17.2,134,116,4000000017
15,D.Terry,Chicago Bulls,Atlanta Hawks,1,14.39,4,1,5,0,2,0,.250,.250,.250,18.2,21.8,20.2,6.9,0.0,12.1,24.1,85,112,4000000017
