,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Paolo Banchero,Orlando Magic,Brooklyn Nets,0,33.56,19,8,10,1,0,0,.501,.400,.133,2.8,29.6,15.0,42.7,1.4,0.0,25.5,113,124,5.2
1,Franz Wagner,Orlando Magic,Brooklyn Nets,0,33.41,20,5,7,0,1,2,.536,.438,.188,2.8,19.9,10.6,26.9,0.0,2.5,25.2,113,128,2.3
2,Jalen Suggs,Orlando Magic,Brooklyn Nets,0,22.27,7,2,0,1,1,1,.500,.500,.429,0.0,0.0,0.0,15.0,2.1,3.8,21.2,63,129,-10.9
3,Anthony Black,Orlando Magic,Brooklyn Nets,0,19.26,2,1,3,0,0,0,1.000,1.000,.000,0.0,17.2,7.9,7.6,0.0,0.0,2.2,207,131,-6.0
4,Goga Bitadze,Orlando Magic,Brooklyn Nets,0,15.26,3,0,5,0,1,0,.218,.167,.000,18.3,14.5,16.5,0.0,0.0,5.5,19.3,72,128,-13.9
5,Cole Anthony,Orlando Magic,Brooklyn Nets,0,31.25,20,1,6,0,1,2,.559,.529,.353,3.0,17.8,9.8,6.7,0.0,2.7,26.0,104,129,0.2
6,Moritz Wagner,Orlando Magic,Brooklyn Nets,0,21.34,18,2,2,0,1,2,.804,.778,.222,4.4,5.2,4.7,20.6,0.0,3.9,26.5,131,132,10.2
7,Gary Harris,Orlando Magic,Brooklyn Nets,0,20.45,4,2,1,0,0,0,.250,.250,.625,0.0,5.4,2.5,15.2,0.0,0.0,16.7,62,135,-12.3
8,Joe Ingles,Orlando Magic,Brooklyn Nets,0,16.29,5,2,2,1,0,1,.753,.750,.500,5.7,6.8,6.2,18.2,2.9,0.0,11.3,129,127,1.1
9,Caleb Houstan,Orlando Magic,Brooklyn Nets,0,16.07,3,0,0,0,0,1,.500,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,8.1,94,136,-7.7
10,Chuma Okeke,Orlando Magic,Brooklyn Nets,0,4.22,0,0,0,0,0,0,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0,137,-35.5
11,Admiral Schofield,Orlando Magic,Brooklyn Nets,0,4.22,0,1,1,0,0,0,.000,.000,1.000,0.0,25.6,11.7,31.4,0.0,0.0,19.8,26,129,-13.1
