,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,date
0,L.James,Los Angeles Lakers,New Orleans Pelicans,0,40.54,23,9,9,3,2,1,.471,.325,.250,0.0,23.5,11.6,37.8,3.6,3.7,29.6,105,101,4000000016
1,A.Davis,Los Angeles Lakers,New Orleans Pelicans,0,40.13,20,0,15,1,3,0,.490,.375,.000,15.6,23.9,19.7,0.0,1.2,5.7,26.7,101,104,4000000016
2,D.Russell,Los Angeles Lakers,New Orleans Pelicans,0,36.32,21,6,0,1,1,5,.706,.679,.786,0.0,0.0,0.0,30.6,1.3,2.1,19.9,135,113,4000000016
3,A.Reaves,Los Angeles Lakers,New Orleans Pelicans,0,36.27,16,6,5,0,0,2,.627,.545,.455,0.0,14.6,7.2,27.8,0.0,0.0,18.6,119,114,4000000016
4,R.Hachimura,Los Angeles Lakers,New Orleans Pelicans,0,32.43,13,1,1,1,0,2,.945,1.000,.333,0.0,3.3,1.6,5.3,1.5,0.0,9.6,178,113,4000000016
5,T.Prince,Los Angeles Lakers,New Orleans Pelicans,0,22.20,6,0,4,1,1,2,.429,.429,.857,0.0,19.1,9.4,0.0,2.2,3.4,14.4,81,105,4000000016
6,G.Vincent,Los Angeles Lakers,New Orleans Pelicans,0,17.52,9,1,4,1,0,2,.699,.667,.667,0.0,23.9,11.8,10.0,2.7,0.0,16.5,135,106,4000000016
7,J.Hayes,Los Angeles Lakers,New Orleans Pelicans,0,7.49,2,0,1,0,0,0,1.000,1.000,.000,0.0,13.6,6.7,0.0,0.0,0.0,5.9,200,114,4000000016
8,S.Dinwiddie,Los Angeles Lakers,New Orleans Pelicans,0,5.10,0,1,2,0,0,0,.000,.000,.667,0.0,41.3,20.4,26.5,0.0,0.0,26.6,21,107,4000000016
9,Z.Williamson,New Orleans Pelicans,Los Angeles Lakers,1,36.27,40,5,11,1,1,0,.646,.630,.037,8.8,22.9,15.9,31.9,1.3,2.7,40.1,122,109,4000000016
10,H.Jones,New Orleans Pelicans,Los Angeles Lakers,1,35.08,10,0,0,2,0,2,.714,.714,.571,0.0,0.0,0.0,0.0,2.8,0.0,9.8,112,112,4000000016
11,C.McCollum,New Orleans Pelicans,Los Angeles Lakers,1,29.37,9,6,3,0,0,1,.300,.300,.600,3.6,7.0,5.3,26.6,0.0,0.0,24.7,75,117,4000000016
12,B.Ingram,New Orleans Pelicans,Los Angeles Lakers,1,24.56,11,4,4,0,0,1,.427,.375,.083,0.0,16.7,8.5,21.8,0.0,0.0,27.4,81,116,4000000016
13,J.Valanciunas,New Orleans Pelicans,Los Angeles Lakers,1,20.14,4,1,10,0,0,0,.254,.143,.143,15.8,36.1,26.1,5.8,0.0,0.0,16.8,85,112,4000000016
14,T.Murphy,New Orleans Pelicans,Los Angeles Lakers,1,30.41,12,2,4,1,1,2,.600,.600,.600,0.0,13.6,6.9,8.9,1.6,3.2,14.0,123,110,4000000016
15,L.Nance,New Orleans Pelicans,Los Angeles Lakers,1,27.42,10,5,12,0,0,1,.635,.643,.286,7.7,37.7,22.9,24.0,0.0,0.0,15.3,118,111,4000000016
16,J.Alvarado,New Orleans Pelicans,Los Angeles Lakers,1,25.16,10,7,2,0,0,2,.714,.714,.714,4.2,4.1,4.2,37.6,0.0,0.0,13.6,143,118,4000000016
17,D.Daniels,New Orleans Pelicans,Los Angeles Lakers,1,9.59,0,0,4,0,0,0,.000,.000,1.000,0.0,41.8,21.1,0.0,0.0,0.0,4.3,0,111,4000000016
18,S.Curry,Golden State Warriors,Sacramento Kings,0,36.28,22,2,4,2,1,3,.635,.594,.438,3.1,8.1,5.8,11.7,2.8,2.2,28.9,94,123,4000000016
19,D.Green,Golden State Warriors,Sacramento Kings,0,35.03,12,6,3,2,0,2,.676,.625,.500,0.0,8.4,4.5,29.9,2.9,0.0,15.3,113,124,4000000016
