,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,Golden State Warriors,0,29.16,24,7,2,3,1,3,.481,.357,.333,4.6,3.0,3.6,33.6,5.0,2.9,40.5,111,108,1.4
1,Jalen Williams,Oklahoma City Thunder,Golden State Warriors,0,29.03,16,5,3,2,0,2,.576,.538,.231,0.0,9.0,5.4,24.2,3.3,0.0,24.0,114,110,-0.3
2,Chet Holmgren,Oklahoma City Thunder,Golden State Warriors,0,27.06,13,2,10,0,2,0,.707,.571,.286,4.9,29.0,19.5,9.6,0.0,6.2,21.4,107,103,-3.1
3,Josh Giddey,Oklahoma City Thunder,Golden State Warriors,0,26.07,19,1,6,2,0,3,.679,.679,.214,10.2,13.4,12.1,6.3,3.7,0.0,28.6,108,106,1.8
4,Luguentz Dort,Oklahoma City Thunder,Golden State Warriors,0,23.56,5,0,2,1,0,1,.500,.500,.600,0.0,7.3,4.4,0.0,2.0,0.0,11.0,78,114,-8.1
5,Cason Wallace,Oklahoma City Thunder,Golden State Warriors,0,25.35,10,4,2,1,0,2,.714,.714,.286,5.2,3.4,4.1,20.6,1.9,0.0,12.0,161,116,5.4
6,Isaiah Joe,Oklahoma City Thunder,Golden State Warriors,0,25.03,23,0,5,1,0,7,1.382,1.500,1.000,0.0,17.4,10.5,0.0,1.9,0.0,14.6,254,108,22.7
7,Vasilije Micić,Oklahoma City Thunder,Golden State Warriors,0,21.21,5,7,2,0,0,1,.425,.300,.600,0.0,8.2,4.9,37.7,0.0,0.0,12.1,139,118,-4.1
8,Kenrich Williams,Oklahoma City Thunder,Golden State Warriors,0,17.36,6,3,5,0,0,0,1.000,1.000,.000,15.2,14.9,15.0,22.8,0.0,0.0,7.5,220,114,5.5
9,Aaron Wiggins,Oklahoma City Thunder,Golden State Warriors,0,11.05,5,1,2,0,0,0,.644,.667,.333,0.0,15.7,9.5,12.3,0.0,0.0,15.4,138,114,-1.0
10,Jaylin Williams,Oklahoma City Thunder,Golden State Warriors,0,3.52,2,1,3,0,0,0,.500,.500,.500,0.0,67.7,40.9,39.3,0.0,0.0,22.8,123,83,7.3
11,Chris Paul,Golden State Warriors,Oklahoma City Thunder,1,27.33,15,8,3,1,0,4,.805,.750,.750,0.0,14.5,5.7,42.2,1.8,0.0,14.7,169,129,10.5
12,Klay Thompson,Golden State Warriors,Oklahoma City Thunder,1,27.26,5,3,2,1,0,1,.230,.150,.600,0.0,9.7,3.8,13.7,1.8,0.0,18.4,62,130,-13.0
13,Jonathan Kuminga,Golden State Warriors,Oklahoma City Thunder,1,26.40,21,2,6,0,1,1,.691,.654,.308,0.0,30.0,11.9,14.1,0.0,3.3,28.2,110,128,2.7
14,Andrew Wiggins,Golden State Warriors,Oklahoma City Thunder,1,26.16,12,2,6,0,0,0,.462,.462,.308,13.3,10.2,12.0,12.6,0.0,0.0,26.9,80,134,-12.5
15,Dario Šarić,Golden State Warriors,Oklahoma City Thunder,1,24.04,12,4,3,1,0,2,.551,.500,.300,3.6,11.1,6.6,24.9,2.0,0.0,19.4,126,129,2.0
16,Brandin Podziemski,Golden State Warriors,Oklahoma City Thunder,1,25.00,13,3,8,0,0,3,.825,.786,.571,7.0,32.0,16.9,17.8,0.0,0.0,13.9,159,131,4.9
17,Moses Moody,Golden State Warriors,Oklahoma City Thunder,1,22.55,12,1,4,0,1,2,.524,.545,.364,7.6,11.6,9.2,7.1,0.0,3.8,21.3,108,131,-1.0
18,Cory Joseph,Golden State Warriors,Oklahoma City Thunder,1,20.27,3,2,2,0,1,1,.214,.214,.857,4.3,6.5,5.2,12.5,0.0,4.3,13.4,79,131,-8.2
19,Kevon Looney,Golden State Warriors,Oklahoma City Thunder,1,19.23,13,1,11,1,0,0,.658,.667,.000,31.5,27.5,29.9,9.8,2.5,0.0,22.0,137,125,5.4
20,Gary Payton II,Golden State Warriors,Oklahoma City Thunder,1,7.35,1,0,1,1,0,0,.102,.000,.250,11.5,0.0,7.0,0.0,6.4,0.0,25.2,41,121,-19.3
21,Trayce Jackson-Davis,Golden State Warriors,Oklahoma City Thunder,1,4.33,0,0,0,0,1,0,,,,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0,120,-2.0
22,Lester Quinones,Golden State Warriors,Oklahoma City Thunder,1,4.16,0,0,0,0,0,0,.000,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0,136,-39.8
23,Gui Santos,Golden State Warriors,Oklahoma City Thunder,1,3.52,2,1,3,0,0,0,.333,.333,.333,45.1,34.5,40.9,45.0,0.0,0.0,30.4,117,130,4.5
24,Mikal Bridges,Brooklyn Nets,Miami Heat,0,35.01,23,5,7,0,0,2,.593,.467,.400,3.9,22.2,13.3,21.6,0.0,0.0,27.7,120,133,-0.3
25,Spencer Dinwiddie,Brooklyn Nets,Miami Heat,0,32.36,10,7,5,0,0,2,.430,.333,.778,8.4,11.9,10.2,27.8,0.0,0.0,18.1,110,135,-4.6
26,Dorian Finney-Smith,Brooklyn Nets,Miami Heat,0,31.37,11,1,6,1,0,3,.917,.917,.667,4.3,20.5,12.7,4.5,1.6,0.0,12.3,107,130,-0.5
27,Cameron Johnson,Brooklyn Nets,Miami Heat,0,27.23,16,3,4,1,0,3,.707,.650,.600,0.0,19.0,9.7,16.8,1.9,0.0,19.5,139,129,3.9
28,Nic Claxton,Brooklyn Nets,Miami Heat,0,25.45,16,2,6,1,3,0,.913,1.000,.000,5.3,25.2,15.5,13.8,2.0,12.2,16.4,159,118,13.1
29,Lonnie Walker IV,Brooklyn Nets,Miami Heat,0,26.10,23,1,3,1,0,2,.582,.556,.389,5.2,9.9,7.6,7.8,2.0,0.0,36.0,110,131,-0.5
30,Royce O'Neale,Brooklyn Nets,Miami Heat,0,20.06,5,4,0,1,0,1,.500,.500,.800,0.0,0.0,0.0,27.1,2.5,0.0,12.9,112,131,-0.2
