,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
5,11.0,11,E.Mobley o25.5 Pts+Rebs,Cleveland Cavaliers,PropBetGuy,-120,1.2,2.2,-5.760000000000001,E.Mobley,Memphis Grizzlies,1,1.0000000000000002,0.3333333333333333,0.0,0.6,1.0,0.7,1.0
6,12.0,12,E.Mobley o25.5 Pts+Rebs,Cleveland Cavaliers,charliedisturco,-120,0.6,1.1,0.0542999999999999,E.Mobley,Memphis Grizzlies,1,0.5000000000000001,0.3333333333333333,0.0,0.6,1.0,0.7,1.0
8,15.0,15,M.Plumlee o24.5 Pts+Rebs,Charlotte Hornets,SBK5065,-105,0.53,1.0347619047619048,0.0,M.Plumlee,Chicago Bulls,0,0.5047619047619047,0.3461538461538461,0.0,0.6,1.0,0.8,1.0
9,18.0,18,M.Plumlee o24.5 Pts+Rebs,Charlotte Hornets,JoeDellera,-105,0.25,0.4880952380952381,0.0,M.Plumlee,Chicago Bulls,0,0.238095238095238,0.3461538461538461,0.0,0.6,1.0,0.8,1.0
11,,11,E.Mobley o25.5 Pts+Rebs,Cleveland Cavaliers,PropBetGuy,-120,1.2,2.2,-5.760000000000001,E.Mobley,Memphis Grizzlies,1,1.0000000000000002,,,,,,
12,,12,E.Mobley o25.5 Pts+Rebs,Cleveland Cavaliers,charliedisturco,-120,0.6,1.1,0.0542999999999999,E.Mobley,Memphis Grizzlies,1,0.5000000000000001,,,,,,
15,,15,M.Plumlee o24.5 Pts+Rebs,Charlotte Hornets,SBK5065,-105,0.53,1.0347619047619048,0.0,M.Plumlee,Chicago Bulls,0,0.5047619047619047,,,,,,
18,,18,M.Plumlee o24.5 Pts+Rebs,Charlotte Hornets,JoeDellera,-105,0.25,0.4880952380952381,0.0,M.Plumlee,Chicago Bulls,0,0.238095238095238,,,,,,
19,,19,M.Plumlee o24.5 Pts+Rebs,Charlotte Hornets,PropBetGuy,-105,1.05,2.05,-5.760000000000001,M.Plumlee,Chicago Bulls,0,0.9999999999999998,,,,,,
