Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,V.Micic o6.5 Ast,ChrisRaybon,-106,1.0,V.Micic,Charlotte Hornets,Phoenix Suns,1.0,1.9433962264150944,0.9433962264150944,0.5333333333333333,1,0.6,1,0.6,1
1,K.Durant o4.5 Ast,cowhitchurch,100,1.0,K.Durant,Phoenix Suns,Charlotte Hornets,0.0,2.0,1.0,0.6440677966101694,1,0.6,1,0.6,1
2,K.Durant o4.5 Ast,JoeDellera,-105,0.35,K.Durant,Phoenix Suns,Charlotte Hornets,0.0,0.6833333333333332,0.3333333333333332,0.6440677966101694,1,0.6,1,0.6,1
6,J.Suggs o2.5 Ast,cowhitchurch,-140,0.7,J.Suggs,Orlando Magic,Toronto Raptors,0.0,1.2,0.5,0.4745762711864407,0,0.6,1,0.7,1
7,J.Suggs o2.5 Ast,ChrisRaybon,-140,1.0,J.Suggs,Orlando Magic,Toronto Raptors,0.0,1.7142857142857144,0.7142857142857144,0.4745762711864407,0,0.6,1,0.7,1
0,J.Nurkic o23.5 Pts+Rebs,the_degenerates,-106,1.06,J.Nurkic,Phoenix Suns,Charlotte Hornets,0.0,2.06,1.0,0.3870967741935484,0,0.2,0,0.4,0
4,P.Banchero o22.5 Pts,the_degenerates,-110,1.1,P.Banchero,Orlando Magic,Toronto Raptors,0.0,2.1,1.0,0.546875,1,0.4,0,0.5,0
8,P.Banchero o22.5 Pts,cowhitchurch,100,1.0,P.Banchero,Orlando Magic,Toronto Raptors,0.0,2.0,1.0,0.546875,1,0.4,0,0.5,0
9,P.Banchero o22.5 Pts,JoeDellera,-115,1.0,P.Banchero,Orlando Magic,Toronto Raptors,0.0,1.869565217391304,0.8695652173913042,0.546875,1,0.4,0,0.5,0
8,C.Cunningham u22.5 Pts,gneiffer07,-110,1.1,C.Cunningham,Detroit Pistons,Miami Heat,1.0,2.1,1.0,0.509090909090909,1,0.4,0,0.4,0
