,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,J.Hardy o5.5 Pts,kylemurray03,-128,1.28,J.Hardy,Dallas Mavericks,Minnesota Timberwolves,0,2.28,1.0000000000000002,0.5465116279069767,1,0.6,1,0.4,0
7,P.Washington o19.5 Pts,charliedisturco,850,0.15,P.Washington,Dallas Mavericks,Minnesota Timberwolves,0,1.425,1.275,0.1555555555555555,0,0.0,0,0.3,0
8,P.Washington o11.5 Pts,charliedisturco,-125,0.5,P.Washington,Dallas Mavericks,Minnesota Timberwolves,0,0.9,0.4,0.4666666666666667,0,0.4,0,0.5,0
10,N.Reid o10.5 Pts,VegasRefund,-125,1.25,N.Reid,Minnesota Timberwolves,Dallas Mavericks,1,2.25,1.0,0.5729166666666666,1,0.8,1,0.6,1
11,P.Washington o11.5 Pts,VegasRefund,-122,1.22,P.Washington,Dallas Mavericks,Minnesota Timberwolves,0,2.22,1.0000000000000002,0.4666666666666667,0,0.4,0,0.5,0
12,J.Hardy o5.5 Pts,GDAWG5000,-120,0.6,J.Hardy,Dallas Mavericks,Minnesota Timberwolves,0,1.1,0.5000000000000001,0.5465116279069767,1,0.6,1,0.4,0
13,J.Hardy o5.5 Pts,PropBomb,-120,1.2,J.Hardy,Dallas Mavericks,Minnesota Timberwolves,0,2.2,1.0000000000000002,0.5465116279069767,1,0.6,1,0.4,0
14,L.Doncic o29.5 Pts,VegasRefund,-115,1.15,L.Doncic,Dallas Mavericks,Minnesota Timberwolves,0,2.1499999999999995,0.9999999999999996,0.6627906976744186,1,0.6,1,0.4,0
15,K.Irving u23.5 Pts,GreenDotDaily,-120,1.0,K.Irving,Dallas Mavericks,Minnesota Timberwolves,0,1.8333333333333333,0.8333333333333335,0.4594594594594595,0,0.6,1,0.8,1
2,K.Irving u22.5 Pts,ActionIsland,-110,1.0,K.Irving,Dallas Mavericks,Minnesota Timberwolves,0,1.9090909090909087,0.9090909090909092,0.3648648648648648,0,0.6,1,0.8,1
25,J.Hardy o5.5 Pts,JoeDellera,100,0.75,J.Hardy,Dallas Mavericks,Minnesota Timberwolves,0,1.5,0.75,0.5465116279069767,1,0.6,1,0.4,0
