,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,7.0,7,P.Washington o14.5 Pts,Charlotte Hornets,charliedisturco,-100,0.5,1.0,3.155,P.Washington,New York Knicks,0,0.5,0.4754098360655737,0.0,0.8,1.0,0.6,1.0
3,10.0,10,M.Williams o10.5 Pts,Charlotte Hornets,MrTuttle05,-120,1.2,2.2,0.0,M.Williams,New York Knicks,0,1.0000000000000002,0.3142857142857143,0.0,0.8,1.0,0.7,1.0
5,17.0,17,T.Eason o10.5 Pts,Houston Rockets,PropBomb,-118,1.18,2.18,6.8434,T.Eason,Brooklyn Nets,1,0.9999999999999998,0.3125,0.0,0.8,1.0,0.4,0.0
7,21.0,21,T.Eason o10.5 Pts,Houston Rockets,JoeDellera,-118,1.0,1.847457627118644,1.5231000000000012,T.Eason,Brooklyn Nets,1,0.847457627118644,0.3125,0.0,0.8,1.0,0.4,0.0
8,24.0,24,D.Bane u24.5 Pts,Memphis Grizzlies,SBK5065,-110,0.55,1.05,0.0,D.Bane,Los Angeles Lakers,0,0.5,0.6585365853658537,1.0,0.6,1.0,0.7,1.0
10,30.0,30,T.Jones o14.5 Pts,Memphis Grizzlies,JoeDellera,-130,0.4,0.7076923076923077,0.0,T.Jones,Los Angeles Lakers,0,0.3076923076923077,0.2222222222222222,0.0,0.4,0.0,0.2,0.0
2,,2,G.Allen o11.5 Pts,Milwaukee Bucks,SBK5065,-118,1.0,1.847457627118644,0.0,G.Allen,Orlando Magic,0,0.847457627118644,,,,,,
7,,7,P.Washington o14.5 Pts,Charlotte Hornets,charliedisturco,-100,0.5,1.0,3.155,P.Washington,New York Knicks,0,0.5,,,,,,
10,,10,M.Williams o10.5 Pts,Charlotte Hornets,MrTuttle05,-120,1.2,2.2,0.0,M.Williams,New York Knicks,0,1.0000000000000002,,,,,,
17,,17,T.Eason o10.5 Pts,Houston Rockets,PropBomb,-118,1.18,2.18,6.8434,T.Eason,Brooklyn Nets,1,0.9999999999999998,,,,,,
21,,21,T.Eason o10.5 Pts,Houston Rockets,JoeDellera,-118,1.0,1.847457627118644,1.5231000000000012,T.Eason,Brooklyn Nets,1,0.847457627118644,,,,,,
24,,24,D.Bane u24.5 Pts,Memphis Grizzlies,SBK5065,-110,0.55,1.05,0.0,D.Bane,Los Angeles Lakers,0,0.5,,,,,,
