,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,7,7,M.Thybulle o2.5 Stl+Blk,JoeDellera,115,0.25,0.5375,0,Portland Trail Blazers,M.Thybulle,Sacramento Kings,0.0,0.2875
1,8,8,M.Thybulle o2.5 Stl+Blk,SBK5065,115,0.5,1.075,0,Portland Trail Blazers,M.Thybulle,Sacramento Kings,0.0,0.575
2,17,17,D.Melton o1.5 Stl+Blk,SBK5065,-120,0.6,1.1,0,Philadelphia 76ers,D.Melton,Memphis Grizzlies,1.0,0.5000000000000001
