,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,0,0,0,M.Fultz u13.5 Pts,SBK5065,-122,0.61,1.11,7.5473,Orlando Magic,M.Fultz,Los Angeles Clippers,1,0.5000000000000001
1,5,5,5,T.Young o26.5 Pts,PropBomb,-117,1.17,2.17,0.0,Atlanta Hawks,T.Young,New York Knicks,0,1.0
2,18,18,18,G.Antetokounmpo o30.5 Pts,PropBomb,-125,1.25,2.25,0.0,Milwaukee Bucks,G.Antetokounmpo,Sacramento Kings,1,1.0
3,24,24,24,D.Ayton o17.5 Pts,PropBomb,-104,1.05,2.059615384615385,0.0,Phoenix Suns,D.Ayton,Boston Celtics,1,1.0096153846153848
4,26,26,26,D.Ayton o16.5 Pts,JoeDellera,-105,1.0,1.9523809523809523,0.0,Phoenix Suns,D.Ayton,Boston Celtics,1,0.9523809523809524
