,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
4,4,4,4,G.Allen o8.5 Pts,JoeDellera,-130,0.38,0.6723076923076923,0,Milwaukee Bucks,G.Allen,Chicago Bulls,0,0.2923076923076922
17,17,17,17,D.DiVincenzo o6.5 Pts,SBK5065,-115,1.0,1.869565217391304,0,Golden State Warriors,D.DiVincenzo,Utah Jazz,1,0.869565217391304
7,7,7,7,K.Durant o28.5 Pts,PropBetGuy,-120,1.2,2.2,0,Brooklyn Nets,K.Durant,Atlanta Hawks,0,1.0000000000000002
8,8,8,8,K.Durant o28.5 Pts,JoeDellera,-120,0.5,0.9166666666666669,0,Brooklyn Nets,K.Durant,Atlanta Hawks,0,0.4166666666666668
