,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit
2,2,B.Lopez o1.5 3pt M,Milwaukee Bucks,SBK5065,-118,0.59,1.09,14.6075,B.Lopez,Miami Heat,1,0.4999999999999999
6,6,B.Lopez o1.5 3pt M,Milwaukee Bucks,JoeDellera,-120,0.15,0.275,0.0,B.Lopez,Miami Heat,1,0.125
9,9,M.Bridges o2.5 3pt M,Brooklyn Nets,GDAWG5000,240,0.5,1.7,1.25,M.Bridges,Chicago Bulls,0,1.2
18,18,P.George o2.5 3pt M,Los Angeles Clippers,JoeDellera,-125,0.5,0.9,-8.819999999999997,P.George,Sacramento Kings,1,0.4
