,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
10,K.Durant o4.5 Ast,cowhitchurch,-105,1.0,K.Durant,Phoenix Suns,Toronto Raptors,0,1.9523809523809523,0.9523809523809524,0.6,1,0.8,1,0.7,1
11,K.Durant o4.5 Ast,JoeDellera,100,1.0,K.Durant,Phoenix Suns,Toronto Raptors,0,2.0,1.0,0.6,1,0.8,1,0.7,1
13,J.Duren o2.5 Ast,SBK5065,130,0.5,J.Duren,Detroit Pistons,Los Angeles Lakers,1,1.15,0.6499999999999999,0.8,1,1.0,1,0.8,1
17,N.Jokic o8.5 Ast,kylemurray03,-125,0.8,N.Jokic,Denver Nuggets,Houston Rockets,1,1.4400000000000002,0.6400000000000001,0.5882352941176471,1,0.4,0,0.6,1
