,Unnamed: 0,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,2,,,,2,2,H.Jones o3.5 Rebs,GreenDotDaily,-155,1.0,1.6451612903225803,0,New Orleans Pelicans,H.Jones,San Antonio Spurs,1,0.6451612903225803,,,,,,
6,6,,,,6,6,H.Jones o3.5 Rebs,JoeDellera,-148,0.3,0.5027027027027027,0,New Orleans Pelicans,H.Jones,San Antonio Spurs,1,0.2027027027027027,,,,,,
