,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,2.0,2.0,10.0,10,10,10,L.Doncic o29.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Dallas Mavericks,L.Doncic,Houston Rockets,0,0.4166666666666668,0.75,1.0,0.6,1.0,0.8,1.0
3,3.0,3.0,13.0,13,13,13,D.Schroder o11.5 Pts,SBK5065,-125,0.63,1.134,0,Los Angeles Lakers,D.Schroder,Charlotte Hornets,1,0.5039999999999999,0.5172413793103449,1.0,0.6,1.0,0.7,1.0
4,4.0,4.0,17.0,17,17,17,L.James o30.5 Pts,JoeDellera,-125,0.8,1.4400000000000002,0,Los Angeles Lakers,L.James,Charlotte Hornets,1,0.6400000000000001,0.4242424242424242,0.0,0.6,1.0,0.6,1.0
5,5.0,5.0,19.0,19,19,19,B.Simmons u9.5 Pts,SBK5065,-110,0.55,1.05,0,Brooklyn Nets,B.Simmons,Milwaukee Bucks,1,0.5,0.6451612903225806,1.0,1.0,1.0,0.7,1.0
9,9.0,9.0,23.0,23,23,23,D.Brooks u17.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Memphis Grizzlies,D.Brooks,Phoenix Suns,0,0.4166666666666668,0.5789473684210527,1.0,0.8,1.0,0.8,1.0
11,11.0,11.0,25.0,25,25,25,C.Paul u16.5 Pts,PropBetGuy,-110,1.0,1.9090909090909087,0,Phoenix Suns,C.Paul,Memphis Grizzlies,1,0.9090909090909088,0.7307692307692307,1.0,0.4,0.0,0.5,0.0
12,12.0,12.0,29.0,29,29,29,F.VanVleet u18.5 Pts,SBK5065,-125,0.5,0.9,0,Toronto Raptors,F.VanVleet,Cleveland Cavaliers,0,0.4,0.5714285714285714,1.0,0.8,1.0,0.7,1.0
13,13.0,13.0,30.0,30,30,30,B.Beal u25.5 Pts,SBK5065,-102,0.5,0.9901960784313726,0,Washington Wizards,B.Beal,Sacramento Kings,0,0.4901960784313726,0.5416666666666666,1.0,0.6,1.0,0.6,1.0
1,,,,1,1,1,P.Banchero o20.5 Pts,PropBetGuy,-114,1.14,2.14,0,Orlando Magic,P.Banchero,San Antonio Spurs,1,1.0000000000000002,,,,,,
5,,,,5,5,5,J.Ivey u16.5 Pts,SBK5065,-110,0.5,0.9545454545454546,0,Detroit Pistons,J.Ivey,Atlanta Hawks,0,0.4545454545454546,,,,,,
10,,,,10,10,10,L.Doncic o29.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Dallas Mavericks,L.Doncic,Houston Rockets,0,0.4166666666666668,,,,,,
12,,,,12,12,12,L.Doncic o29.5 Pts,JoeDellera,-105,0.48,0.937142857142857,0,Dallas Mavericks,L.Doncic,Houston Rockets,0,0.4571428571428571,,,,,,
13,,,,13,13,13,D.Schroder o11.5 Pts,SBK5065,-125,0.63,1.134,0,Los Angeles Lakers,D.Schroder,Charlotte Hornets,1,0.5039999999999999,,,,,,
17,,,,17,17,17,L.James o30.5 Pts,JoeDellera,-125,0.8,1.4400000000000002,0,Los Angeles Lakers,L.James,Charlotte Hornets,1,0.6400000000000001,,,,,,
18,,,,18,18,18,D.Schroder o10.5 Pts,JoeDellera,-113,0.75,1.413716814159292,0,Los Angeles Lakers,D.Schroder,Charlotte Hornets,1,0.663716814159292,,,,,,
30,,,,30,30,30,B.Beal u25.5 Pts,SBK5065,-102,0.5,0.9901960784313726,0,Washington Wizards,B.Beal,Sacramento Kings,0,0.4901960784313726,,,,,,
