,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,R.Gobert o13.5 Pts,SBK5065,-121,0.5,R.Gobert,Minnesota Timberwolves,Dallas Mavericks,0,0.9132231404958676,0.4132231404958677,0.5454545454545454,1,0.8,1,0.6,1
2,M.Conley u13.5 Pts,SBK5065,-110,1.0,M.Conley,Minnesota Timberwolves,Dallas Mavericks,0,1.9090909090909087,0.9090909090909092,0.6363636363636364,1,0.2,0,0.5,0
7,A.Coffey u7.5 Pts,SBK5065,100,1.0,A.Coffey,Los Angeles Clippers,Golden State Warriors,1,2.0,1.0,1.0,1,1.0,1,1.0,1
8,B.Podziemski o10.5 Pts,JoeDellera,-110,0.5,B.Podziemski,Golden State Warriors,Los Angeles Clippers,0,0.9545454545454546,0.4545454545454546,0.3529411764705882,0,0.8,1,0.5,0
11,K.Huerter o14.5 Pts,SBK5065,350,0.2,K.Huerter,Sacramento Kings,Oklahoma City Thunder,1,0.9,0.7,0.2857142857142857,0,0.2,0,0.2,0
12,K.Huerter o9.5 Pts,SBK5065,-125,1.0,K.Huerter,Sacramento Kings,Oklahoma City Thunder,1,1.8,0.8,0.5714285714285714,1,0.4,0,0.5,0
13,D.Fox u30.5 Pts,PropBomb,-127,1.27,D.Fox,Sacramento Kings,Oklahoma City Thunder,1,2.27,1.0,0.6470588235294118,1,0.8,1,0.7,1
14,D.Fox u30.5 Pts,cowhitchurch,-130,1.3,D.Fox,Sacramento Kings,Oklahoma City Thunder,1,2.3,0.9999999999999998,0.6470588235294118,1,0.8,1,0.7,1
18,M.Bridges o22.5 Pts,kylemurray03,-115,1.0,M.Bridges,Brooklyn Nets,Denver Nuggets,0,1.869565217391304,0.8695652173913042,0.3478260869565217,0,0.4,0,0.4,0
20,M.Porter o15.5 Pts,SportsBookBreakers,-120,1.0,M.Porter,Denver Nuggets,Brooklyn Nets,1,1.8333333333333333,0.8333333333333335,0.6,1,0.6,1,0.6,1
