,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,1,R.O'Neale o10.5 Pts+Ast,Brooklyn Nets,PropBomb,-120,1.2,2.2,0,R.O'Neale,Philadelphia 76ers,1,1.0000000000000002,,,,,,
0,1,R.O'Neale o10.5 Pts+Ast,Brooklyn Nets,PropBomb,-120,1.2,2.2,0,R.O'Neale,Philadelphia 76ers,1,1.0000000000000002,0.6538461538461539,1.0,0.4,0.0,0.5,0.0
