,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
4,4,4,P.Banchero o1.5 3pt M,JoeDellera,225,0.34,1.105,0,Orlando Magic,P.Banchero,Atlanta Hawks,1,0.7649999999999999
5,5,5,D.Green u0.5 3pt M,ChicagoFlow,-141,0.71,1.2135460992907805,0,Golden State Warriors,D.Green,Indiana Pacers,0,0.5035460992907805
15,15,15,D.Finney-Smith o1.5 3pt M,JoeDellera,-135,0.37,0.644074074074074,0,Dallas Mavericks,D.Finney-Smith,Cleveland Cavaliers,1,0.274074074074074
20,20,20,K.Murray o1.5 3pt M,PropBomb,-136,1.0,1.7352941176470589,0,Sacramento Kings,K.Murray,Toronto Raptors,0,0.7352941176470589
