,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,name
1,1,1,S.Barnes o0.5 3pt M,Toronto Raptors,JoeDellera,110,0.5,1.05,0.0,Milwaukee Bucks,0,0.55,0.6046511627906976,1.0,0.6,1.0,0.5,0.0,
8,15,15,T.Harris o1.5 3pt M,Philadelphia 76ers,JoeDellera,105,0.75,1.5375,0.0,Los Angeles Clippers,0,0.7874999999999999,0.5641025641025641,1.0,0.6,1.0,0.4,0.0,
