,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0.0,0.0,1.0,1,1,1,D.Fox o29.5 Pts,KurtisSenif,185,0.1,0.285,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.1849999999999999,0.2564102564102564,0.0,0.2,0.0,0.3,0.0
5,5.0,5.0,11.0,11,11,11,D.Fox o25.5 Pts,KurtisSenif,-115,0.35,0.6543478260869564,0,Sacramento Kings,D.Fox,Denver Nuggets,1,0.3043478260869564,0.4358974358974359,0.0,0.2,0.0,0.3,0.0
7,7.0,7.0,13.0,13,13,13,F.Wagner o18.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.9999999999999996,0.6744186046511628,1.0,0.8,1.0,0.8,1.0
8,8.0,8.0,14.0,14,14,14,F.Wagner o18.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.5043478260869564,0.6744186046511628,1.0,0.8,1.0,0.8,1.0
9,9.0,9.0,15.0,15,15,15,D.Ayton u20.5 Pts,JoeDellera,-115,0.3,0.5608695652173913,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.2608695652173913,0.6578947368421053,1.0,0.8,1.0,0.7,1.0
10,10.0,10.0,16.0,16,16,16,D.Ayton u20.5 Pts,JoeDellera,-115,0.13,0.2430434782608695,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.1130434782608695,0.6578947368421053,1.0,0.8,1.0,0.7,1.0
15,15.0,15.0,29.0,29,29,29,K.Porter u19.5 Pts,PropBomb,-125,1.25,2.25,0,Houston Rockets,K.Porter,Boston Celtics,0,1.0,0.525,1.0,0.4,0.0,0.4,0.0
10,,,,10,10,10,P.Banchero o20.5 Pts,PropBetGuy,-111,1.11,2.1100000000000003,0,Orlando Magic,P.Banchero,Los Angeles Lakers,1,1.0000000000000002,,,,,,
13,,,,13,13,13,F.Wagner o18.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.9999999999999996,,,,,,
14,,,,14,14,14,F.Wagner o18.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0,Orlando Magic,F.Wagner,Los Angeles Lakers,1,0.5043478260869564,,,,,,
15,,,,15,15,15,D.Ayton u20.5 Pts,JoeDellera,-115,0.3,0.5608695652173913,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.2608695652173913,,,,,,
16,,,,16,16,16,D.Ayton u20.5 Pts,JoeDellera,-115,0.13,0.2430434782608695,0,Phoenix Suns,D.Ayton,Memphis Grizzlies,0,0.1130434782608695,,,,,,
23,,,,23,23,23,G.Niang o8.5 Pts,SBK5065,-120,0.6,1.1,0,Philadelphia 76ers,G.Niang,Washington Wizards,0,0.5000000000000001,,,,,,
